StateAbbr,LocationName,LocationID,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY
AK,Aleutians East,2013,3398,560.67,618.436,421.35200000000003,434.944,1032.992,1077.166
AK,Aleutians West,2016,5122,1044.888,896.35,691.47,548.054,1367.574,1541.7220000000002
AK,Anchorage,2020,287145,55993.275,38477.43,60874.74,22971.600000000002,56567.565,84994.92
AK,Bethel,2050,18257,3468.83,6079.581,4107.825,2428.181,6207.38,7503.627
AK,Bristol Bay,2060,865,176.46,150.51,173.0,94.285,186.84,277.665
AK,Chugach,2063,6874,1395.4220000000003,1051.7220000000002,1278.564,632.408,1436.6659999999997,2130.94
AK,Copper River,2066,2589,476.376,455.66400000000004,502.266,292.557,629.1270000000001,856.9590000000001
AK,Denali,2068,1585,336.02,258.355,293.225,133.14000000000001,339.19,508.785
AK,Dillingham,2070,4723,1024.8909999999998,1308.271,1076.844,623.436,1317.7169999999999,1761.679
AK,Fairbanks North Star,2090,95356,20787.608,13349.84,19834.048000000003,6865.6320000000005,19357.268,30323.208000000002
AK,Haines,2100,2056,374.19199999999995,302.23199999999997,380.36,207.65599999999998,433.8160000000001,670.2560000000001
AK,Hoonah-Angoon,2105,2287,375.068,455.11299999999994,427.66900000000004,322.46700000000004,612.916,736.4140000000001
AK,Juneau,2110,31685,6400.37,4752.75,6083.52,2756.5950000000003,6653.85,10582.79
AK,Kenai Peninsula,2122,60690,10499.37,9649.710000000001,13351.800000000001,5886.93,12926.970000000001,19724.25
AK,Ketchikan Gateway,2130,13741,2761.9410000000003,2061.15,2761.9410000000003,1360.359,2913.092,4740.645
AK,Kodiak Island,2150,12720,2289.6,2124.2400000000002,2353.2000000000003,1221.1200000000001,2874.7200000000003,3854.16
AK,Kusilvak,2158,8278,1498.3180000000002,3162.1960000000004,2052.944,1291.3680000000002,3211.8639999999996,3766.4900000000002
AK,Lake and Peninsula,2164,1381,256.86600000000004,330.059,287.248,183.673,385.29900000000004,538.59
AK,Matanuska-Susitna,2170,113325,20058.525,22325.025,27198.0,10539.225,29804.475000000002,36264.0
AK,Nome,2180,9835,1858.815,3275.0550000000003,2242.38,1258.88,2989.84,3648.785
AK,North Slope,2185,10805,2398.71,2539.175,1977.315,1123.72,2582.395,4527.295
AK,Northwest Arctic,2188,7423,1536.5610000000001,2167.516,1685.0210000000002,964.99,2234.3230000000003,2813.317
