factor,status,n_obs,n_cbsa,n_year,converged,logLik,sigma2_CBSA,sigma2_Year,sigma2_Residual,ICC_CBSA,ICC_Year,CBSA_flag,Year_flag
GDP,ok,864,72,12,True,-16569.692057531196,6.214615354253256e+16,540615052648284.94,1597959512394597.8,0.9667327742062757,0.008409696494999685,ok,ok
NOI,ok,864,72,12,True,3693.1223107587284,17051.11539148788,1083.9582944708695,9.448004374340735e-07,0.9402286247009591,0.05977137524694273,ok,ok
PARK,ok,864,72,12,True,-2586.3895573566087,35642155651.365105,2265754444.413121,1.9747687344233877,0.9402300353529065,0.05976996459499951,ok,ok
PI,ok,864,72,12,True,-10239.731422151146,191112214052.5283,38645757511.31132,529072997.36876863,0.8298869544167182,0.16781559546672456,ok,ok
DEP,ok,864,72,12,True,-11000.39957736731,185150117956.9244,1158226742.5203083,3907146422.5078545,0.9733703436289498,0.006089024272884989,ok,ok
MHP,ok,864,72,12,True,-8295.091057279047,40599838.876321584,3946777.718553082,8912240.329322094,0.7594595397707639,0.07382832229558346,ok,ok
UNH,ok,864,72,12,True,350.06998043735075,2.996918654514274,0.003973798270460747,0.012911072310971125,0.9943974879447738,0.001318532624098167,ok,ok
