,cbsacode,factor,k,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_m_eigs,FsAMI,beta,p_value,CI_lower,CI_upper,AIC,BIC,AICc,CV_RMSE_final,LASSO_R2_unused,LASSO_n_eigs_unused
0,10100.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0048539286065487,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
1,10140.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0592344589496054,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
2,10180.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0128780163393962,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
3,10220.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0750071770151752,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
4,10300.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0280645571674824,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
5,10420.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0166786572894857,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
6,10460.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0317641551900802,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
7,10500.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.131632314558713,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
8,10540.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0586834199341055,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
9,10580.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0337032911829719,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
