cbsacode,factor,k,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_m_eigs,FsAMI,beta,p_value,CI_lower,CI_upper,AIC,BIC,AICc,CV_RMSE_final,LASSO_R2_unused,LASSO_n_eigs_unused
10100.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.020342433688334438,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10140.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.015620618727817615,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10180.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.020607737862474274,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10220.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.02715499796915921,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10300.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.0004380891953230659,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10420.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.006574849854058762,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10460.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.007975486629860917,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10500.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.006253466736238167,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10540.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.02005868274083955,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10580.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.006807454524854428,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
