factor,cbsacode,adf_p_original,adf_p_final,detrend_applied
Park_Area_Acres,10740,0.9925737814562162,0.16184872817551482,linear
Park_Area_Acres,11260,2.70073561423559e-10,2.70073561423559e-10,no
Park_Area_Acres,12060,1.7928410542178436e-06,1.7928410542178436e-06,no
Park_Area_Acres,12260,0.01202630057536751,0.01202630057536751,no
Park_Area_Acres,12420,0.9988792012115263,0.9920444767467482,linear
Park_Area_Acres,12580,1.0,0.0,linear
Park_Area_Acres,12940,4.055298314136466e-07,4.055298314136466e-07,no
Park_Area_Acres,13740,0.004713391679807978,0.004713391679807978,no
Park_Area_Acres,13820,0.9990859782194009,0.44029992168938653,linear
Park_Area_Acres,13900,0.10498332439220531,0.03776991994984236,linear
Park_Area_Acres,14260,1.0,5.761903804984761e-11,linear
Park_Area_Acres,14460,1.0,0.7387933620454895,linear
Park_Area_Acres,15540,0.9940595765427476,0.8226390464675137,linear
Park_Area_Acres,16620,0.0,0.0,no
Park_Area_Acres,16700,0.0029136118771256147,0.0029136118771256147,no
Park_Area_Acres,16740,0.998374793223033,0.884461301526089,linear
Park_Area_Acres,16980,0.03214841333334071,0.03214841333334071,no
Park_Area_Acres,17140,0.19813824771515615,0.9988767393684151,linear
Park_Area_Acres,17820,1.0,1.0,linear
Park_Area_Acres,18140,0.38100432667896944,0.9648248651906925,linear
Park_Area_Acres,19100,0.9953008777027417,0.23358093047058243,linear
Park_Area_Acres,19740,0.9983643431516803,0.2531166863466202,linear
Park_Area_Acres,19780,1.001316927623434e-11,1.001316927623434e-11,no
Park_Area_Acres,19820,0.9912625985469907,0.6542069170676186,linear
Park_Area_Acres,20260,0.9932194301640015,0.010722203890595887,linear
Park_Area_Acres,22020,0.9987387550457505,1.0,linear
Park_Area_Acres,22220,1.0,0.7667891789244475,linear
Park_Area_Acres,24340,0.18457582482018836,0.10966346275508804,linear
Park_Area_Acres,24860,1.0,0.9990729964509419,linear
Park_Area_Acres,25180,1.0,0.25286954549599006,linear
Park_Area_Acres,26420,0.8668041529903523,4.599791316495092e-30,linear
Park_Area_Acres,26580,1.0091156399086119e-08,1.0091156399086119e-08,no
Park_Area_Acres,26900,0.9623892987057492,0.34292307673680406,linear
Park_Area_Acres,28140,0.7166914236201354,0.7665289568723763,linear
Park_Area_Acres,28940,0.0133431669744782,0.0133431669744782,no
Park_Area_Acres,30700,1.5827117192669127e-06,1.5827117192669127e-06,no
Park_Area_Acres,30780,0.8869350859989398,0.016727733209059792,linear
Park_Area_Acres,31080,0.9899365006216069,0.6730228589443549,linear
Park_Area_Acres,31140,0.9615090875281239,0.9477669767027949,linear
Park_Area_Acres,32820,0.21779485361740125,3.1158232229522442e-06,linear
Park_Area_Acres,33340,0.99892953403866,0.3759095186126393,linear
Park_Area_Acres,33460,1.0,0.07587805815668554,linear
Park_Area_Acres,34980,0.8457549724759625,0.6915165211173491,linear
Park_Area_Acres,35380,0.4830942814269005,0.42629630732691115,linear
Park_Area_Acres,35620,0.9851330814181929,0.4954356177330037,linear
Park_Area_Acres,36260,0.6574694274203251,0.18452834553928915,linear
Park_Area_Acres,36420,0.02055309612619952,0.02055309612619952,no
Park_Area_Acres,36540,0.9657413890289535,0.31084106608243434,linear
Park_Area_Acres,37980,1.0,0.7680458351965395,linear
