factor,rho,pval
DEP,0.08455903497335589,0.012342523284409674
ED,0.021938927618456384,0.5169121657702449
PI,-0.03614574635245977,0.2855087075124359
MHP,0.02448357614079071,0.4697459609923088
GDP,-0.003248299499081971,0.9235611634034994
NOI,0.04375366745676732,0.19600413154996413
