cbsacode,TotalPopulation,BINGE,65older,CANCER,CSMOKING,DEPRESSION,DIABETES,DISABILITY,LPA,MOBILITY,OBESITY,SELFCARE,VISION,smoking_pop,obesity_pop,drinking_pop,diabetes_pop,edu_college,physical_inactivity,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,life_total,FFR20,gdp,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,noise50n,noise60n,noise70n,noise80n,noise90n,Park_Area_Acres,road_network_total,auto_net_total,multimodal_net_total,pedestrian_net_total,street_intersection_total,auto_intersections_total,multimodal_3leg_intersections_total,multimodal_4leg_intersections_total,pedestrian_3leg_intersections_total,pedestrian_4leg_intersections_total,Ac_Land
10100.0,42037,8802.089,7893.0,3684.2870000000003,5942.09,7630.409000000001,3886.342,11896.471,9800.073,4794.896000000001,14822.800999999998,1239.3980000000001,1747.9070000000002,7133.404,14577.280000000002,9501.7693201785,3226.546,7220.0,12487.7,962.0,1546.0,154.0,121664.0,18137.0,393.9,3409629.942124405,-9966.0,3439940.0,67978.45821493126,18970.24651621232,1624.4872502068354,130.99999992921948,21.999999959021807,3717.0830343013263,607.1891733594767,44.96775828972279,6.824776492727213,3.068829410124467,550.7733005,3284659.6768545927,405321.770782689,2646971.755560377,232366.1509776215,2253481.5997932116,441599.9996826077,802560.0000730163,824960.0001221184,602240.0000698899,491520.0002147041,1816927.4311502
10140.0,77038,12865.346,17452.0,7780.838,11555.7,20954.336,9937.902,27348.49,19105.424000000003,13712.764,28427.021999999997,3620.786000000001,4622.28,14430.5,27342.0,14729.818714555,7822.849999999999,8979.0,17240.65,3402.0,3366.0,288.0,54034.0,21742.0,399.7,5823756.82976325,46.0,3442875.0,37788.85655544066,12055.625896719488,1543.3748257600084,54.99999997741543,10.0,3744.330966337104,733.3788888304986,107.62950373051903,7.306491946440727,1.80152722864962,104080.1414,2374546.7359121284,104440.89156707923,159955.53700487944,2110150.3073306493,2589726.720188022,143999.99996864714,423680.000161782,113919.99999083344,2356480.0001623486,621440.0000700855,1216909.733325
10180.0,179308,33724.319,27052.0,13006.378,27437.232000000004,43682.746,22629.731,60962.299,49045.578,27337.236000000004,64315.187000000005,7314.732,11088.890000000001,29976.035000000003,63635.665,33258.719645609,20377.34,26405.0,50857.600000000006,4334.0,10980.0,264.0,154855.0,62386.0,667.1,13030042.11017011,162.0,9606966.0,143194.65702439204,40560.726391245335,11997.191932663312,1426.114686787504,166.9999999754946,19453.57803974736,5776.179242768674,1259.5460916789639,134.7755488521365,21.393130144958715,3252.752494,4222980.656817023,649977.5554171898,1960052.065001596,1612951.036084806,6348198.399811403,1219199.9998758468,2706559.999947324,566400.0002107887,3808640.000143286,1436159.999848002,1755788.4181257
10220.0,38141,5263.4580000000005,6485.0,3013.139,7475.636000000001,11327.877,5377.881,16972.745,12433.966,7513.777,16400.63,1754.486,2631.7290000000003,8216.958,14091.699,5375.4139329750005,4185.273,5882.0,12747.804,1000.0,2484.0,225.0,50587.0,14185.0,689.6,2840001.743701224,27.0,2564945.0,25858.09772698719,7275.695756836442,869.796603576804,75.0000000155996,3.00000002235174,2481.1709454286597,552.7010706610184,101.55063114908012,3.7995274122099927,0.0916021286924738,87.79480673,1003198.0374802948,118841.5021588591,556115.9008407413,328240.63454879075,1655392.0000739952,208639.99997417617,862719.9999967349,156159.99995845722,833279.9999388941,368000.00008585834,461048.0308452
10300.0,98567,16559.256,19425.0,9166.731000000002,16066.421000000002,23754.647,11335.205,30851.471,26021.688,13799.38,41496.707,3548.4120000000003,4829.783,19952.832,38634.16,20668.843875488,9291.76,13631.0,26310.352000000003,4105.0,3650.0,250.0,58849.0,36533.0,268.2,7598085.025928176,61.0,3938601.0,48266.68549107507,10156.516394096325,597.4339273574061,88.00000001303486,14.0,5334.595050151922,801.9125412773633,59.8608928911956,7.036913088009861,0.5455567758336453,741.3775988,1318876.8768637632,241518.103246409,812170.257736874,265188.5159209319,1677813.7601225842,422400.0000032765,858240.0000456945,213120.0000053305,903040.0000231444,289920.0000097088,479745.6727602
10420.0,697627,117737.21800000001,131019.0,64768.213,111296.82999999999,175114.181,88750.57,226921.559,165388.24599999998,102966.149,269324.865,23395.828,33698.488000000005,150058.96899999998,245850.78,129844.7994033416,71385.215,117342.0,194789.12200000003,28496.0,39899.0,2086.0,124965.0,284695.0,1072.0,54031842.46500082,617.0,44539393.0,193274.7418536452,56083.929696108855,15811.7116044032,1571.0503511153138,146.8947318894788,75771.06247168808,19663.265734375917,5494.82051168435,537.5449184926114,53.1143899450831,41598.15136,3468618.436798777,377079.9184907302,1134100.173058007,1957438.3452446596,10487480.31979452,472319.9999719358,3440639.9999349588,900480.0000029727,7480320.000054073,2302719.999983229,576110.987742
10460.0,68823,11218.149,12061.0,5092.902,12250.494000000002,15622.820999999998,8258.76,24982.749,18375.741,10667.565,25946.271,3372.327,4955.256,12302.027,21273.671,12237.6510704285,7748.238,11169.0,20661.968,2140.0,3827.0,195.0,46735.0,21223.0,573.4,5240111.682140954,31.0,3423019.0,51038.77343506665,17534.37873582144,1748.546598636594,241.99999999793357,56.00000006952911,2779.124828559355,642.1261691718007,40.976202146459165,3.958197833295347,1.0392128859212186,1095434.797,3200581.972081662,210148.55906753545,1691331.956640813,1299101.4549976117,2581681.281150779,180480.0004389442,1607040.0006381397,190719.9991782828,1356799.9999861864,414079.9997856076,4231947.4717845
10500.0,145786,18752.858,24546.0,10479.03,25774.742,29474.406000000003,23394.468,53090.104,45183.848,27644.542,60703.372,9028.449999999999,12001.518,32732.271,54304.491,23469.2827168412,21156.817,22022.0,51201.476,4662.0,15631.0,136.0,202773.0,48833.0,4273.1,10680304.93017776,127.0,7351145.0,86051.03968229608,20809.461036762455,2258.2953396513194,166.00000007078052,37.0,10150.812846856452,2383.319614987029,428.695379067858,14.01144444272191,2.2295011801421225,2951.173366,2448946.8108634637,384913.3890989178,1353346.9103369273,710686.5115105925,4565648.640051724,587519.9999907158,1967999.99994994,422399.9999403695,2817919.999994227,951039.9999219064,1018203.1893635
10540.0,130467,23092.659,25421.0,11872.497,19830.984,34443.288,14090.436000000002,42401.775,27789.471,17743.512,45141.582,4827.279,6784.284000000001,22934.449999999997,45868.899999999994,26012.2036253772,12188.022,19848.0,36433.012,4568.0,6755.0,264.0,65516.0,44243.0,388.4,10176594.497742904,78.0,6177586.0,104487.30238729634,24940.57812327537,4624.935608574193,665.765307803871,48.99999997764826,15450.630038226607,2773.409056454778,372.8072895774127,50.2147416614838,5.502235097202754,1088.410985,3127758.2180916243,380096.4735768415,569184.8146757162,2178476.92906711,2675590.399732671,508800.0002012576,799999.9999706144,122239.99991980512,2291199.999609767,491520.0001700316,1463804.7211931
10580.0,904617,180592.883,162753.0,78264.545,107220.828,186924.742,85983.744,221822.78900000002,191298.84600000002,99092.598,300152.99,25677.794,37287.517,141099.06,274328.782,198051.299474704,73166.266,163739.0,214836.044,32149.0,41310.0,2385.0,351549.0,342326.0,2158.8,70032609.22649884,745.0,79477183.0,308861.8974006122,84558.1483401958,25693.16769037284,2106.098788296583,222.99999993771783,103799.99321707014,22757.317435297693,7175.964429382054,625.1659686772466,48.9014875002235,19106.72324,6231369.279821113,1000420.3518567904,1341772.6887584724,3889176.239353421,13175142.399895055,1762559.999964135,3903360.0000564554,716160.0000640257,11763839.999822808,2008960.000004771,1799436.1179578
