X,Y,Z,Spearman,p value
GDP,NOI,['DISABILITY'],0.12375384908576145,0.0003638025696350298
GDP,NOI,['pedestrian_3leg_intersections_total'],0.09744074956461977,0.005064543610986422
GDP,children_single_parent,['DEP'],-0.05741031087863625,0.09917916762447082
life_expectancy,pedestrian_3leg_intersections_total,['DEP'],0.08355419302481382,0.0163088237612727
NOI,children_single_parent,['GDP'],0.21120727078958793,8.775013300400336e-10
DEP,MHP,"['ED', 'DISABILITY']",0.11083719960894965,0.001420287704055742
DEP,MHP,"['ED', 'GDP']",0.09447777398344077,0.006582095055104115
DEP,MHP,"['ED', 'life_expectancy']",0.08482750745862258,0.014741604586836583
DEP,MHP,"['DISABILITY', 'GDP']",0.10462768637506815,0.0026061583130260343
DEP,MHP,"['DISABILITY', 'life_expectancy']",0.09597869185514954,0.005768707707348221
DEP,MHP,"['GDP', 'life_expectancy']",0.08914737343897264,0.010367047132705495
DEP,ED,"['MHP', 'DISABILITY']",0.2327969122673281,1.2546008607964148e-11
DEP,ED,"['MHP', 'GDP']",0.10797447259972623,0.001886134105196535
DEP,ED,"['MHP', 'life_expectancy']",0.08356539326883433,0.01629442473603298
DEP,ED,"['DISABILITY', 'GDP']",0.23176091098866908,1.5537833639749032e-11
DEP,ED,"['DISABILITY', 'life_expectancy']",0.22578658158597903,5.228600552008896e-11
DEP,ED,"['GDP', 'life_expectancy']",0.10553279811001205,0.0023900378718433677
DEP,DISABILITY,"['MHP', 'ED']",0.32719897813743243,4.609961268228412e-22
DEP,DISABILITY,"['MHP', 'GDP']",0.23976889382418864,2.8960544535019565e-12
DEP,DISABILITY,"['MHP', 'life_expectancy']",0.25452887775843935,1.1126427545360566e-13
DEP,DISABILITY,"['ED', 'GDP']",0.30701588289357024,1.7277405410596061e-19
DEP,DISABILITY,"['ED', 'life_expectancy']",0.3127004538920183,3.407300218568135e-20
DEP,DISABILITY,"['GDP', 'life_expectancy']",0.2314315897452823,1.662736244498809e-11
DEP,GDP,"['MHP', 'ED']",-0.20703032503331728,1.8983376340480907e-09
DEP,GDP,"['MHP', 'DISABILITY']",-0.1338933064967537,0.00011353250484103119
DEP,GDP,"['MHP', 'life_expectancy']",-0.1827286275096412,1.2346298406167927e-07
DEP,GDP,"['ED', 'DISABILITY']",-0.13890177455197025,6.189865717128586e-05
DEP,GDP,"['ED', 'life_expectancy']",-0.19627240547864408,1.2870123088513171e-08
DEP,GDP,"['DISABILITY', 'life_expectancy']",-0.1222880863526038,0.0004275099412306394
DEP,life_expectancy,"['MHP', 'ED']",-0.11070177460520338,0.0014396882372389452
DEP,life_expectancy,"['MHP', 'DISABILITY']",-0.08693560205703339,0.012436945953912162
DEP,life_expectancy,"['MHP', 'GDP']",-0.09958199773706096,0.004172758965268891
DEP,life_expectancy,"['ED', 'DISABILITY']",-0.08391822224872048,0.015846499977627115
DEP,life_expectancy,"['ED', 'GDP']",-0.10134390684633549,0.003548405798673866
DEP,life_expectancy,"['DISABILITY', 'GDP']",-0.08470930868569874,0.014881288624625972
ED,DISABILITY,"['DEP', 'children_single_parent']",-0.3556121447056622,4.9867962892638054e-26
ED,children_single_parent,"['DEP', 'DISABILITY']",-0.12324153374140052,0.00038498778342326814
DISABILITY,GDP,"['DEP', 'children_single_parent']",-0.24688213473244114,6.183035781940463e-13
DISABILITY,GDP,"['DEP', 'ED']",-0.20594441240107628,2.3139703153967306e-09
DISABILITY,GDP,"['children_single_parent', 'ED']",-0.24916868797179498,3.7246825081420854e-13
DISABILITY,children_single_parent,"['DEP', 'ED']",0.39424393694965293,4.164090879383508e-32
DISABILITY,children_single_parent,"['DEP', 'GDP']",0.4702590349211791,1.1223547444728784e-46
DISABILITY,children_single_parent,"['ED', 'GDP']",0.40501861428387775,5.944817367602365e-34
GDP,pedestrian_3leg_intersections_total,"['DEP', 'DISABILITY']",0.1415024669548884,4.4802839250158954e-05
GDP,pedestrian_3leg_intersections_total,"['DEP', 'NOI']",0.13573131764429697,9.109516989848193e-05
GDP,pedestrian_3leg_intersections_total,"['DISABILITY', 'NOI']",0.15513363237913894,7.500593814702864e-06
GDP,NOI,"['DEP', 'DISABILITY']",0.13169948531578274,0.00014711768275249817
GDP,NOI,"['DEP', 'pedestrian_3leg_intersections_total']",0.11193343946238829,0.001271878376695071
GDP,NOI,"['DISABILITY', 'pedestrian_3leg_intersections_total']",0.12280879123336032,0.0004037733803681969
DEP,MHP,"['ED', 'DISABILITY', 'GDP']",0.11727925631231434,0.00073231067673786
DEP,MHP,"['ED', 'DISABILITY', 'life_expectancy']",0.10883508146394216,0.0017331482371327365
DEP,MHP,"['ED', 'GDP', 'life_expectancy']",0.09136052888148476,0.008608029819157034
DEP,MHP,"['DISABILITY', 'GDP', 'life_expectancy']",0.10146329804067594,0.0035093365588692005
DEP,ED,"['MHP', 'DISABILITY', 'GDP']",0.23728454768235063,4.9091787948348896e-12
DEP,ED,"['MHP', 'DISABILITY', 'life_expectancy']",0.23014343392348433,2.1653133108412572e-11
DEP,ED,"['MHP', 'GDP', 'life_expectancy']",0.10617917569078596,0.002245861064099664
DEP,ED,"['DISABILITY', 'GDP', 'life_expectancy']",0.22971812275605852,2.3617826589809433e-11
DEP,DISABILITY,"['MHP', 'ED', 'GDP']",0.3130023494428225,3.122733401314388e-20
DEP,DISABILITY,"['MHP', 'ED', 'life_expectancy']",0.3208073651186392,3.1630163261328993e-21
DEP,DISABILITY,"['MHP', 'GDP', 'life_expectancy']",0.23644016426669678,5.865742990074828e-12
DEP,DISABILITY,"['ED', 'GDP', 'life_expectancy']",0.30319625899073765,5.042390439759039e-19
DEP,GDP,"['MHP', 'ED', 'DISABILITY']",-0.14390308807868704,3.307845926094343e-05
DEP,GDP,"['MHP', 'ED', 'life_expectancy']",-0.1978669497247982,9.755841886469015e-09
DEP,GDP,"['MHP', 'DISABILITY', 'life_expectancy']",-0.12657852507585052,0.0002652541193688082
DEP,GDP,"['ED', 'DISABILITY', 'life_expectancy']",-0.13307238823112003,0.00012515162584049005
DEP,life_expectancy,"['MHP', 'ED', 'DISABILITY']",-0.08271713448357638,0.017417025391669966
DEP,life_expectancy,"['MHP', 'ED', 'GDP']",-0.09968729280679765,0.004132820063619227
DEP,life_expectancy,"['MHP', 'DISABILITY', 'GDP']",-0.0821829296889244,0.018158242789023026
DEP,life_expectancy,"['ED', 'DISABILITY', 'GDP']",-0.08052273838513668,0.020640557996329467
DISABILITY,GDP,"['DEP', 'children_single_parent', 'ED']",-0.21405762642661377,5.135027113263178e-10
DISABILITY,children_single_parent,"['DEP', 'ED', 'GDP']",0.40034594061688117,3.826274637838616e-33
GDP,pedestrian_3leg_intersections_total,"['DEP', 'DISABILITY', 'NOI']",0.14361871686405944,3.429753723930164e-05
GDP,NOI,"['DEP', 'DISABILITY', 'pedestrian_3leg_intersections_total']",0.13258792444413334,0.00013252434908242707
DEP,MHP,"['ED', 'DISABILITY', 'GDP', 'life_expectancy']",0.11452895760808782,0.0009756422570605845
DEP,ED,"['MHP', 'DISABILITY', 'GDP', 'life_expectancy']",0.23381747594728966,1.0152422182063822e-11
DEP,DISABILITY,"['MHP', 'ED', 'GDP', 'life_expectancy']",0.31108491451163556,5.424426240276293e-20
DEP,GDP,"['MHP', 'ED', 'DISABILITY', 'life_expectancy']",-0.13911053347283955,6.032590094329337e-05
DEP,life_expectancy,"['MHP', 'ED', 'DISABILITY', 'GDP']",-0.07699693989530647,0.02690845475706598
