X,Y,Z,Spearman,p value
MHP,DIS,[],-0.03787112319975641,0.27696346123204363
MHP,DEP,[],0.08467362121615805,0.014923691256521042
MHP,SP,[],0.03647735290962803,0.2950406063683495
MHP,INT,[],0.015426813671643873,0.6579647506894687
MHP,GDP,[],0.03597966602086045,0.30168260691499416
MHP,ED,[],-0.022158905591365165,0.5247989850773269
MHP,LE,[],0.02234933103295368,0.5212420515775338
DIS,DEP,[],0.25384787737010395,1.2992842319192844e-13
DIS,SP,[],0.46543326286158254,1.2271925345030342e-45
DIS,INT,[],-0.028380790197444227,0.4153019439421173
DIS,GDP,[],-0.2725292881856323,1.5603704881942075e-15
DIS,ED,[],-0.4084523408057521,1.484763158257587e-34
DIS,LE,[],-0.5081735856830646,1.9264835279042113e-55
DEP,SP,[],0.0652551449124728,0.060847066789613366
DEP,INT,[],-0.08209215660858316,0.01828689541723024
DEP,GDP,[],-0.18822948043696922,5.026966464559591e-08
DEP,ED,[],0.08239633053602272,0.01785890175568145
DEP,LE,[],-0.12771228361743395,0.00023323464671452665
SP,INT,[],0.03126764244711491,0.36945357956577285
SP,GDP,[],-0.0694419281454307,0.04602515491696061
SP,ED,[],-0.2906211317835936,1.5343530341280184e-17
SP,LE,[],-0.5183125107630672,5.597144924924601e-58
INT,GDP,[],0.1496210042903216,1.5748080040516853e-05
INT,ED,[],-0.05628924310784414,0.10596531169361176
INT,LE,[],-0.07686811579583083,0.0271656056785831
GDP,ED,[],0.12227494842378125,0.00042812532800667945
GDP,LE,[],0.23865706731937544,3.670299386046308e-12
ED,LE,[],0.34314484646376514,3.0804011583484217e-24
DIS,DEP,['SP'],0.26685962245489225,6.1972137005080695e-15
DIS,DEP,['GDP'],0.23409173287311547,9.58936712452216e-12
DIS,DEP,['ED'],0.31958734766350616,4.544492952817451e-21
DIS,DEP,['LE'],0.21138607012236427,8.486848042084357e-10
DIS,SP,['DEP'],0.4637384700434728,2.817128967032504e-45
DIS,SP,['GDP'],0.47045652971830904,1.016865029955422e-46
DIS,SP,['ED'],0.3992723993568377,5.8444776213862874e-33
DIS,SP,['LE'],0.27653260886634523,5.777301469191719e-16
DIS,GDP,['DEP'],-0.2470318900864266,5.982100220725436e-13
DIS,GDP,['SP'],-0.26893447830631445,3.755290107453046e-15
DIS,GDP,['ED'],-0.2459226400636029,7.636694441455623e-13
DIS,GDP,['LE'],-0.17802199112551007,2.6071979862164397e-07
DIS,ED,['DEP'],-0.44196579187827933,8.128638548154204e-41
DIS,ED,['SP'],-0.3126834405935916,3.4240773987826334e-20
DIS,ED,['GDP'],-0.3883462845027004,3.991379098658875e-31
DIS,ED,['LE'],-0.28325616219699384,1.049281425568807e-16
