X,Y,Z,Spearman,p value
GDP,ED,[],0.13730098441981245,4.649335085505899e-05
GDP,DEP,[],-0.14780308008928641,1.1469259634908164e-05
GDP,PI,[],-0.1348698235952948,6.339478101793455e-05
GDP,MHP,[],0.03863500975657431,0.25387944175463795
GDP,NOI,[],0.13596433935578525,5.517064124948235e-05
ED,DEP,[],0.07296373609954963,0.031017273165988124
ED,PI,[],-0.35782896056816177,8.525556893911058e-28
ED,MHP,[],-0.011230038341034119,0.7402408223277261
ED,NOI,[],-0.011847592985152257,0.7265134049743269
DEP,PI,[],0.08132675031370448,0.016179270933445095
DEP,MHP,[],0.08221970434827544,0.015043076893153465
DEP,NOI,[],0.07540837751033792,0.02579267599938432
PI,MHP,[],-0.10286861932958798,0.002327699618622375
PI,NOI,[],0.08088034519287911,0.016775001972831376
MHP,NOI,[],0.09084857369780344,0.0071985549688364245
GDP,ED,['DEP'],0.15811961099521551,2.634183083431475e-06
GDP,ED,['PI'],0.08370341362145839,0.013309868234788715
GDP,ED,['NOI'],0.13679395260899896,4.962063318118791e-05
GDP,DEP,['ED'],-0.16149761225115677,1.5935087166163873e-06
GDP,DEP,['PI'],-0.1465920561151871,1.3545837868874669e-05
GDP,DEP,['NOI'],-0.16044673764195339,1.8652933770015494e-06
GDP,PI,['ED'],-0.10003685142933533,0.0030700502546191725
GDP,PI,['DEP'],-0.13165468579561856,9.477039128714308e-05
GDP,PI,['NOI'],-0.1471487324317068,1.2550348876070618e-05
GDP,NOI,['ED'],0.13702085783710732,4.8197280764244115e-05
GDP,NOI,['DEP'],0.14694977695246633,1.2897853040337763e-05
GDP,NOI,['PI'],0.15099485153942677,7.3506128467624785e-06
ED,DEP,['GDP'],0.09424650824731035,0.005295649758669032
ED,DEP,['PI'],0.11528051864308912,0.0006387406358211874
ED,PI,['GDP'],-0.35375609799936863,3.663765952958306e-27
ED,PI,['DEP'],-0.36757091293900374,2.3899494715833896e-29
DEP,PI,['GDP'],0.06893818140150915,0.04159385479114153
DEP,PI,['ED'],0.11283179710818957,0.0008329573851322846
DEP,PI,['MHP'],0.09148119065031471,0.006803562855023828
DEP,PI,['NOI'],0.08031351350136884,0.01755908504884982
DEP,MHP,['GDP'],0.08687100988688665,0.01018766904115023
DEP,MHP,['ED'],0.08455443404566998,0.012397399398560355
DEP,MHP,['PI'],0.0906924145864437,0.007299166103319602
DEP,MHP,['NOI'],0.07298483771059203,0.030968557826576794
DEP,NOI,['GDP'],0.09623460713639768,0.004405430489932794
DEP,NOI,['ED'],0.07631191829866014,0.02406383687881008
DEP,NOI,['PI'],0.06980284417902667,0.03909558511687737
DEP,NOI,['MHP'],0.0671483549752912,0.04719579102305324
PI,MHP,['GDP'],-0.09268196937884828,0.006106913399703288
PI,MHP,['ED'],-0.11809091532057395,0.0004680036708331599
PI,MHP,['DEP'],-0.11323873107241433,0.0007972900605906969
PI,MHP,['NOI'],-0.10794936242443849,0.001392811390416242
PI,NOI,['GDP'],0.10219318803508098,0.0024880920988920936
PI,NOI,['ED'],0.07580817575089673,0.025014899731680994
PI,NOI,['DEP'],0.07667711636779083,0.02339406546700794
PI,NOI,['MHP'],0.08682152714821567,0.010230945831130232
MHP,NOI,['DEP'],0.08147433577219607,0.015986441665807177
MHP,NOI,['PI'],0.09764492809792297,0.0038585372529562462
GDP,ED,"['DEP', 'PI']",0.10739743127428611,0.0014742770457383597
GDP,ED,"['DEP', 'NOI']",0.16041044790371264,1.875431196923523e-06
GDP,ED,"['PI', 'NOI']",0.07525473477508203,0.026097081977407937
GDP,DEP,"['ED', 'PI']",-0.16084491821215974,1.757455501406604e-06
GDP,DEP,"['ED', 'NOI']",-0.1744523657867214,2.104219374999039e-07
GDP,DEP,"['PI', 'NOI']",-0.16195124296622326,1.4883195553582898e-06
GDP,PI,"['ED', 'DEP']",-0.09708390204556663,0.0040682569570747356
GDP,PI,"['ED', 'NOI']",-0.11304080011773045,0.0008144579399693797
GDP,PI,"['DEP', 'NOI']",-0.14550012862726067,1.572101755906945e-05
GDP,NOI,"['ED', 'DEP']",0.1528790240954246,5.628583037997387e-06
GDP,NOI,"['ED', 'PI']",0.14801440175966585,1.113950426108442e-05
GDP,NOI,"['DEP', 'PI']",0.1635390942618761,1.1701454785307134e-06
ED,DEP,"['GDP', 'PI']",0.12837289997742002,0.00014153210130695568
ED,PI,"['GDP', 'DEP']",-0.36226993301272004,1.6971635015688132e-28
DEP,PI,"['GDP', 'ED']",0.10734293375752245,0.001482554267612147
DEP,PI,"['GDP', 'MHP']",0.07835444280805105,0.020521267836110427
DEP,PI,"['GDP', 'NOI']",0.06488895479397731,0.055159231840343714
DEP,MHP,"['GDP', 'ED']",0.09028228122974402,0.007569433656051725
DEP,MHP,"['GDP', 'NOI']",0.07504010586753751,0.026527504712047633
DEP,MHP,"['ED', 'NOI']",0.07464012788582841,0.027345982427012687
DEP,NOI,"['GDP', 'ED']",0.09830873014000713,0.0036230907396057545
DEP,NOI,"['GDP', 'MHP']",0.08840815620404664,0.008921826757682523
DEP,NOI,"['ED', 'MHP']",0.06779529729747946,0.045101892114328204
PI,MHP,"['GDP', 'ED']",-0.11040665761220621,0.0010780075768388585
PI,MHP,"['GDP', 'NOI']",-0.09824555112568513,0.003644924698929394
PI,MHP,"['ED', 'NOI']",-0.12260191491727974,0.00028007185255758465
PI,NOI,"['GDP', 'ED']",0.09133896147810135,0.006890633191071396
PI,NOI,"['GDP', 'MHP']",0.10766999075456457,0.0014335143503553835
PI,NOI,"['ED', 'MHP']",0.0836385989626689,0.013381732199493478
MHP,NOI,"['DEP', 'PI']",0.08731626466435026,0.009805516444657813
GDP,ED,"['DEP', 'PI', 'NOI']",0.1001379917745956,0.003040198409227367
GDP,DEP,"['ED', 'PI', 'NOI']",-0.17417054963720374,2.2025934130704903e-07
GDP,PI,"['ED', 'DEP', 'NOI']",-0.10891752015628492,0.00125984742584121
GDP,NOI,"['ED', 'DEP', 'PI']",0.16229551916546184,1.412970321054527e-06
DEP,MHP,"['GDP', 'ED', 'NOI']",0.0782726605846755,0.020653863268044925
DEP,NOI,"['GDP', 'ED', 'MHP']",0.09086683539867148,0.007186870734781395
PI,MHP,"['GDP', 'ED', 'NOI']",-0.11540085534319887,0.0006303780619288481
PI,NOI,"['GDP', 'ED', 'MHP']",0.09909331823507672,0.0033616662359426284
