cbsacode,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,FFR20,gdp,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,noise50n,noise60n,noise70n,noise80n,noise90n,Park_Area_Acres
14020.0,161227,28010.982,23623.95,42875.977,15831.685,38714.618,56192.028000000006,27442.948999662396,45997.62499942726,25305.390581039977,15245.70499980644,31016.0,4333.0,6831.0,432.0,115701.0,58572.0,823.0999999999999,120.0,9099941.0,42600.41864938542,13344.349861822388,2591.7716214585507,136.99999998358552,25.000000052503328,13273.278320576177,3632.205058078553,594.2057359694337,27.931036443959787,2.8561858478368225,2425.434089
14100.0,64926,11556.828,10647.864,16296.426,7206.786,16750.908,23373.36,11822.394999483611,18776.744999179853,10372.568160046938,4868.044999787369,8445.0,2701.0,2303.0,47.0,56176.0,25098.0,347.9,50.0,2877562.0,28916.69293241178,7150.301127381394,2745.116058669064,228.55611109948572,7.0,4577.1646242032675,834.9202606509915,252.59565995848072,23.442424633696778,1.0677931753919376,31386.43865
14140.0,98521,14392.318000000001,18658.227,27605.071000000004,15585.197,29801.727,40861.147000000004,19907.12899944518,29974.72299915777,12105.735369385753,9352.40499974529,12498.0,3153.0,5949.0,175.0,87309.0,31249.0,481.4,62.0,3625477.0,61142.37717295752,16917.75487446398,3561.2468489992175,279.40903079987044,62.99999997019768,4755.625294945144,1219.8592769883294,195.93204458871338,16.69327828848966,4.076976434358171,368.7547143
14180.0,38896,5678.816,9373.936000000002,10657.504,6845.696000000001,15013.856000000002,16686.384,7524.2419995505725,12204.675999271003,4136.952152512697,4028.7279997593614,4870.0,1559.0,4386.0,53.0,47892.0,14599.0,1143.9,33.0,4246232.0,46360.6035117055,14441.092400776604,4326.254539976872,490.6526016727729,22.00000001583248,2222.405551533161,544.7808134370717,90.78566092222124,13.01134532445688,2.8779223258562605,201.3854773
14220.0,45025,7158.975,9320.175,12697.05,7969.425,14903.275,19405.775,9515.103999574703,13747.925999385508,6524.001515009396,4617.623999793605,4558.0,1361.0,4317.0,74.0,38604.0,13317.0,688.4,27.0,1324812.0,16799.834864493707,3350.997987958813,28.00000002980232,10.0,3.0,932.3262146469302,129.3725751880351,1.9434028278394024,1.252790692801126,0.2954575971543606,1211.749117
14260.0,811336,137266.588,102072.248,194022.847,76452.636,169325.543,256249.74699999997,86376.73499943635,181660.51999875618,121032.23967066541,56066.07699967625,137386.0,21224.0,31558.0,2016.0,301229.0,276754.0,2027.0,-9485.0,51309858.0,221461.55582394658,49005.15354248857,9139.063224640035,1576.9771912522683,63.000000016298166,74537.27886450426,12400.81130660934,2206.515713154024,296.2913042890498,8.04377646326392,620433.4304
14300.0,37125,6793.875,6311.25,8761.5,5049.0,10395.0,14070.375,5717.609999934068,10048.274999884128,5907.37908638638,3113.5499999640965,4098.0,788.0,1226.0,36.0,59746.0,11118.0,236.5,12.0,1270513.0,23416.903752181825,5108.1047387943,1318.1533735613332,16.0,4.0,838.3261154812105,155.11462973766135,21.64416181254932,0.675283033771258,0.13523382688527,18110.44989
14380.0,55089,10852.533,6445.413,14323.14,5068.188,10797.444,16416.522,9534.00699980154,16005.275999666832,8970.148012553876,5088.0969998940855,8709.0,1736.0,1229.0,240.0,54004.0,19392.0,334.7,33.0,2814739.0,12191.85571406933,4181.698648958852,242.20187799146527,0.0,0.0,2087.287384115804,690.967616169421,38.02575188461817,0.0,0.0,406.5569066
14420.0,20215,3759.99,3113.11,4871.8150000000005,2769.455,5417.62,7580.625,3014.1780001082716,5702.0790002048225,3133.3872065106534,1833.3660000658556,3146.0,613.0,1216.0,2.0,62536.0,7399.0,343.9,15.0,8931746.0,9259.924642565038,1054.3306830004724,144.9999999547726,19.0,11.0,729.1785441679548,94.61332944552,17.171594044971968,0.7872849819393212,0.0120939744021031,244.0631281
14460.0,4900550,909607.914,514587.90900000004,1121095.754,436898.819,940584.8130000001,1308641.159,514064.5769935728,964459.2689882432,904205.921499553,311594.35299586056,1046095.0,223592.0,208880.0,31638.0,649008.0,1661855.0,3026.4,3887.0,575762803.0,887682.866161385,264018.3162093558,68571.67600506791,9531.050650456807,362.971615681221,1178099.0250188115,281417.13759053417,52465.22711054922,9029.077343771218,640.160290558974,219190.7325
14500.0,327468,67785.876,32091.864000000005,71060.556,21940.356,40933.5,58944.24,29665.526999268874,53184.14299868925,49328.55595960637,16837.190999585036,72741.0,11887.0,11817.0,2578.0,88289.0,107901.0,416.6,290.0,34985000.0,60951.95116612509,15123.05756494185,2721.354002032973,62.50611013069278,7.999999970197678,40231.83118728643,9228.302263697133,1463.0579987415526,23.592323343707513,4.358706498332105,35406.93791
14540.0,185682,26849.661,30459.815,49243.28,23740.569,47220.451,69124.45300000001,32635.23799972521,50151.48999960341,20867.80221058317,16400.99799987385,28386.0,5318.0,9679.0,415.0,195924.0,65394.0,1234.2,129.0,10685678.0,84621.96528118511,30534.86866385393,6784.9653170498805,1181.956861368407,20.0,15427.12816845158,5572.096775536498,932.3279393724943,123.88386377111813,1.7407431929884802,932.3452735
14580.0,124857,31963.392000000003,14733.126000000002,29091.681,7741.134,19103.121000000003,28217.682,11674.104000314688,21559.434000581157,23018.336637976285,5648.760000152268,27581.0,3536.0,3344.0,436.0,70029.0,45131.0,386.2,108.0,9628476.0,101268.02356486168,28544.261206091214,5676.55204211851,416.00000003352784,48.0000000298023,15294.706033352337,2757.3353512637177,526.1820680939726,33.31567218923098,7.770710911910672,1013.221671
14620.0,39866,7136.013999999999,6378.56,9527.974,4704.188000000001,9687.438,14311.894,7715.246000419261,11508.035000625368,6462.500520565385,3112.032000169114,4971.0,1685.0,1951.0,49.0,52359.0,13846.0,288.0,27.0,2322451.0,39975.75698743591,9685.5307408483,945.597692866032,157.00000002825982,21.0,2794.1145781596474,713.4383072036335,84.908780314052,16.82193340217088,0.6431614281446286,73721.42244
