Year,cbsacode,Sample_Size,population,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,no_time_activity,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n,smo_obe_dia,smo_obe,smo_dia,obe_dia,depressed
2011,10740,2880,857903.0,123687.78709399998,135700.693621,85547.993919,38302.509293,117481.0,143682.0,30309.0,73613.0,174.0,182856.0,303398.0,1239.8,37141102.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524,-0.8344721058820955,-0.6534019964204947,-0.6502305324200884,-0.7399752908492734,186851.2734
2011,11260,482,374553.0,58399.185228,74071.419735,49694.181724,18560.182330000003,58050.99999999999,70584.0,14187.0,27308.0,147.0,145971.0,132468.0,1110.0,22852724.0,926977.9378,0.22558668,0.0,0.0,0.0,-1.062246723905008,-0.8675163876343066,-0.8531600672849393,-0.8811602993141741,65696.5962
2011,12060,15892,5503952.0,688901.4354098078,1063976.563107,605445.2490405126,382898.9857920001,848352.0,1066375.0,260002.00000000003,457387.0,1928.0,1608146.0,1942529.0,8768.199999999999,282418574.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.1812065295585,2.003696499893731,1.6881918405898522,1.678403485244805,1.5420987239728732,740281.5439999999
2011,12260,1442,547067.0,88740.92871598875,128218.401158,56390.564574,46079.670066,108477.0,78056.0,24444.0,56538.0,156.0,298566.0,185331.0,3372.0,22186340.0,3976.123756,0.400426965,1531.9767615940325,40.12234238527965,4.028891232288886,-0.8812699926278367,-0.736480602603109,-0.6984539744591493,-0.7236190610464677,85397.15869999999
2011,12420,1205,1705075.0,227276.2556410058,305678.529295,258215.9653438634,89557.563452,239279.00000000003,374121.0,61456.00000000001,112860.0,911.0,280085.0,607740.0,2275.9,97352466.0,110240.4282,0.20639744,22763.419503266327,4618.338378455112,191.1061681479295,-0.3464580016534555,-0.22443643725582096,-0.26263505087043515,-0.3610986543636487,268719.82
2011,12580,3689,2690886.0,411311.7916480001,573980.092244,334143.82303800003,196209.34137800004,517237.00000000006,499056.0,103603.0,217637.0,1840.0,520302.0,995330.0,2632.4,158031305.0,80226.52268,0.295856965,19938.785830424877,2685.184036326515,66.89503699754884,0.5283948846467652,0.49602844674241237,0.4773032445063517,0.32171330212753324,417894.5957999999
2011,12940,2090,809821.0,128460.337762775,185585.31988199995,97469.96082026922,64835.68049499999,161888.0,114890.0,24946.0,77104.0,189.0,448106.00000000006,297991.0,3906.6,50582174.0,7001.38863,0.391811024,0.0,0.0,0.0,-0.7044592846925769,-0.581653027314609,-0.5527895838769366,-0.5909504651782752,139127.24779999998
2011,13740,843,163339.0,23301.854612,32101.449764000005,21475.463628,9954.153226000002,30609.0,26242.0,4161.0,10051.0,20.0,151632.0,63365.0,621.0999999999999,8492009.0,1664.692233,0.19761568,544.6174327085017,50.77201594253511,5.931671171913574,-1.1882390757389776,-0.9935458920783178,-0.955641777182721,-0.9613774568352415,40638.7432
2011,13820,2135,1131070.0,201817.51048600004,268964.719247,116344.781689,96592.041213,251357.0,192028.00000000003,48135.0,90337.0,391.0,330533.0,418026.0,2177.1,52786173.0,16320.91819,0.463629043,9073.89795499133,1727.1996321612723,106.99731581387152,-0.4084968374883504,-0.32360578947445384,-0.29325902073885063,-0.38332309487656174,221915.934
2011,13900,456,107929.0,15127.080647,21840.662374,16610.386915,5834.616227,18836.0,21122.0,2518.0,5562.0,35.0,155205.0,46733.0,555.7,5594894.0,1736.474756,0.198427523,642.4773467098723,45.36378883629449,11.469352533860206,-1.2237621133724392,-1.0235002041106644,-0.9864751548039247,-0.9876249015873848,19686.249599999996
2011,14260,1645,606376.0,75677.99451900001,107884.86599,69229.44915928549,33032.1197,77331.0,110927.0,25729.0,36155.0,31.0,231701.0,211776.0,1084.4,24490187.0,620433.4304,0.208713041,2206.515713154024,296.2913042890497,8.04377646326392,-0.9593978276651627,-0.78921343733218,-0.769008925806621,-0.7917130340308394,120304.9984
2011,14460,2214,4588680.0,576806.944381,794086.1943900001,688042.55135,286353.608959,741733.0,938168.0,190134.0,261322.0,5259.0,483898.0,1580615.0,1771.3000000000002,340945790.0,219190.7325,0.202725966,52465.22711054922,9029.077343771218,640.160290558974,1.2782058757574022,1.1177463926297255,1.1237232168490805,0.8905972556770242,778899.2066991872
2011,15540,1416,208055.0,25401.192191,34772.807717,32642.090557,9572.590092,27526.0,38237.0,7451.0,13359.0,300.0,171697.0,80777.0,622.5,11657389.0,6455.318154,0.201765352,567.9783589495797,17.998255637169226,1.3720435753676412,-1.1829498718946003,-0.985808525391073,-0.9524629591662701,-0.9593314420493738,46188.21
2011,16620,642,226394.0,42954.53013500001,55211.774421,20410.020279000004,23152.431539,57876.0,30672.0,6975.0,15633.0,119.0,102624.0,77741.0,740.6,12472917.0,1281.325352,0.321453418,1763.3109332249928,155.48862658104713,7.625331590277481,-1.0955570828271122,-0.9234588790847822,-0.8706690017095717,-0.8893546096269456,48335.119000000006
2011,16700,774,659191.0,105540.89956,148192.462604,99253.558156,51943.473528,122401.0,116239.0,31345.0,56305.0,181.0,159881.0,244595.0,1757.1999999999998,30427282.0,8568.514124,0.509772154,5244.440427058826,352.14635824121626,53.84094877403405,-0.8163886652427313,-0.676297235393574,-0.6436560440378377,-0.6796213905804914,101119.8994
