Year,cbsacode,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,Data_value,Sample_Size
2012,13380.0,200434.0,41890.706,23464.407512,38526.020442,27427.989862,11098.030580000002,0.0,33054.0,9379.0,11152.0,84.0,49999.0,67972.0,274.8,23.060000000000002,205.0
2012,13740.0,144797.0,34461.686,20743.039032,30673.217292000005,17984.656182000002,8826.82512,0.0,24970.0,4469.0,9539.0,18.0,48058.99999999999,59402.0,302.8,22.62,158.0
2011,13740.0,144797.0,34461.686,20963.70966,28466.511012000003,18315.662124,8937.160434000001,0.0,24051.0,3643.0,9257.0,18.0,49337.0,57711.0,379.4,25.15,252.0
2012,13820.0,665027.0,158276.426,111991.876854,162160.18368,73478.83322999999,62837.071176000005,0.0,114730.0,28236.0,65586.0,339.0,41740.0,246281.99999999997,801.2,17.73,199.0
2011,13820.0,665027.0,158276.426,115032.38029800002,159119.680236,76519.336674,60810.06888,0.0,116449.0,29567.0,64650.0,339.0,46269.0,248859.0,881.5999999999999,19.17,141.0
2012,13900.0,79822.0,17560.84,9899.52444,15689.81232,11456.053440000002,4482.80352,0.0,16290.0,1711.0,4057.0,34.0,55565.0,35284.0,340.6,15.38,86.0
2011,13900.0,79822.0,17560.84,10522.13604,15565.29,11829.6204,4171.49772,0.0,16624.0,1777.0,4185.0,34.0,54040.00000000001,34975.0,287.2,18.7,111.0
2012,14260.0,571271.0,158409.629,67356.854292,103994.407218,64188.724236,30119.873628000005,0.0,106842.0,26978.0,37543.0,31.0,93328.0,205278.0,637.5,20.701512915129147,271.0
2011,14260.0,571271.0,158409.629,69607.72751400001,100416.84724500001,66253.03109100001,30847.132641,0.0,107285.0,24536.0,34085.0,31.0,101135.0,202107.0,700.6,19.964742268041235,291.0
2012,14460.0,4588680.0,994384.234,549833.3241390001,822432.6021970001,679006.1781809999,288315.214334,0.0,913414.0,190033.0,262916.0,5259.0,463935.0,1570359.0,1972.4,17.512328767123286,2847.0
2011,14460.0,4588680.0,994384.234,576806.944381,794086.1943900001,688042.55135,286353.608959,0.0,938168.0,190134.0,261322.0,5259.0,483898.0,1580615.0,1771.3,16.388713105076743,2541.0
2012,14500.0,303482.0,64338.184,29892.977000000003,34914.997136,41371.880168,10522.327904,0.0,64611.0,12269.0,14304.0,351.0,62215.0,99406.99999999999,240.8,18.28,101.0
2011,14500.0,303482.0,64338.184,29892.977000000003,31566.983712000005,43524.174512000005,8370.033560000002,0.0,62068.0,11150.0,14271.0,351.0,66760.0,102384.00000000001,228.9,17.25,115.0
2011,14580.0,90343.0,18339.629,9720.455085,12456.583182999995,16272.761845999998,2592.121356,0.0,19065.0,3045.0,3375.0000000000005,12.999999999999998,53042.00000000001,34102.0,318.4,18.89,110.0
2012,14740.0,240862.0,54434.812,33184.039464,54996.02046,32065.476336,15100.602228,0.0,42290.0,9847.0,15330.0,76.0,57107.0,77368.0,307.0,24.6,140.0
2011,15100.0,30056.0,5650.528,3734.037216,6809.126688000001,4856.6889280000005,1488.733792,0.0,4211.0,687.0,887.0,5.0,48270.0,12106.0,259.5,23.74,79.0
2012,15540.0,152313.0,30614.913,15577.355135999998,24704.711661,24217.919313000002,6206.602436999999,0.0,31558.0,4592.0,9073.0,285.0,56016.0,60464.0,291.9,20.38,196.0
2011,15540.0,152313.0,30614.913,16672.637919,23244.334617,24217.919313000002,6328.300523999999,0.0,30320.000000000004,5287.0,9050.0,285.0,61230.0,60046.0,312.9,23.84,348.0
2012,15940.0,379466.0,86518.248,67377.98296000001,94036.228392,47457.535824000006,33103.095976000004,0.0,52722.0,21310.0,29173.0,113.0,42805.0,145936.0,321.7,20.26,127.0
2011,15940.0,379466.0,86518.248,67963.87846400001,90227.907616,48922.274584000006,33688.991480000004,0.0,51669.0,21563.0,29477.0,113.0,44682.0,148826.0,322.8,15.9,113.0
2011,16220.0,74508.0,18179.952,15039.588816,14701.620528,9632.096208,4168.275552,0.0,12194.0,2684.0,5114.0,20.0,51486.0,29621.0,419.8,24.21,186.0
2012,16220.0,74508.0,18179.952,14870.604672,15377.557104,9575.76816,4168.275552,0.0,12413.0,2934.0,5267.000000000001,20.0,52101.0,30643.0,501.9,21.8,189.0
2011,16300.0,209226.0,50841.918,28033.982514,46248.151944,35002.882122,12670.72656,0.0,43934.0,6895.0,13723.0,13.0,55173.0,88788.0,329.4,18.64,105.0
2011,16620.0,191663.0,40632.556,35341.123896000005,46215.315864,17519.531504000002,19331.896832,0.0,27642.0,5829.0,13907.0,116.0,41488.0,68067.0,314.6,19.31,131.0
2012,16620.0,191663.0,40632.556,36096.276116,47725.620304,17217.470616000002,19482.927276,0.0,27497.0,6916.000000000001,13289.0,116.0,43110.0,69147.0,315.2,20.06,126.0
2011,16700.0,355276.0,75318.512,56831.37006400001,72508.989392,63550.349776,26036.046384,0.0,71366.0,16092.0,30028.0,166.0,50213.0,134152.0,785.5,13.25,137.0
2012,16700.0,355276.0,75318.512,54031.795184,76988.30920000002,61310.689872,27995.748800000005,0.0,66773.0,16027.0,28978.0,166.0,46187.0,132049.0,785.0,16.73,177.0
2011,16740.0,913639.0,237546.14,114935.7862,173079.77216,107498.76474,53411.33594,0.0,208562.0,49202.0,71881.0,297.0,57293.00000000001,338962.0,476.5,16.51,125.0
2012,16740.0,913639.0,237546.14,107498.76474,174431.95788,108174.8576,52735.24308,0.0,207720.0,50503.0,77249.0,297.0,52363.0,341922.0,653.8,11.76,87.0
2011,16940.0,88854.0,21591.522,15470.36994,16412.044632,11367.358782,5448.260718,0.0,14700.0,2805.9999999999995,7416.0,41.0,56193.0,36917.0,444.4,18.12,218.0
2012,16940.0,88854.0,21591.522,14730.482682000002,17017.406934,10560.209046,5582.785674,0.0,15028.0,3247.0,7870.999999999999,41.0,50278.0,38343.0,559.7,17.43,176.0
2012,16980.0,5781248.0,1415221.6949999998,889572.3745670001,1172998.0355900002,877937.336107,400215.998617,0.0,1071493.0,296762.0,513707.0,3270.9999999999995,96709.0,1678305.0,1121.3,13.65142857142857,343.0
2011,16980.0,5781248.0,1415221.6949999998,919043.340814,1128974.033244,866294.214376,389301.5102310001,0.0,1095545.0,292695.0,526458.0,3270.9999999999995,104601.00000000001,1687310.0,1141.9,17.341941031941033,407.0
2012,17140.0,855062.0,200084.508,134925.363352,177498.90033200002,132305.453384,64187.79421600001,0.0,137767.0,40531.0,77452.0,642.0,46359.0,300190.0,658.4,19.31,154.0
2011,17140.0,855062.0,200084.508,137545.27332,176188.945348,132960.43087600003,66807.70418399999,0.0,146933.0,38885.0,78967.0,642.0,50285.0,317385.0,825.6,16.98,139.0
2012,17410.0,1581416.0,366477.043,243427.10137100003,350703.567997,216440.053551,131859.612615,0.0,258520.0,75659.0,156268.0,1004.0,91499.0,574121.0,960.1,18.65764912280702,285.0
2011,17410.0,1275709.0,293413.07,198423.77786,277007.45226,177795.56333,109034.84823,0.0,212400.00000000003,58771.0,129636.0,937.0,44324.0,457147.0,573.2,16.66,124.0
2011,17820.0,604542.0,157180.92,88130.13276,87235.4106,73367.21712,24604.8594,0.0,114916.0,24832.0,41423.00000000001,254.0,59061.0,223251.0,455.3,20.97,255.0
2012,17820.0,604542.0,157180.92,87682.77168,94840.54896,70683.05064,26841.6648,0.0,118192.0,28745.000000000004,43440.0,254.0,51553.0,226775.0,510.2,17.98,187.0
2012,17900.0,372023.0,88541.474,51026.674680000004,87312.310008,53294.526888,30899.486334,0.0,73334.0,17438.0,35601.0,121.00000000000001,45944.0,141868.0,923.6,15.99,162.0
2011,17900.0,372023.0,88541.474,50459.711628000005,85327.93932599999,51877.11925799999,30616.004808,0.0,74075.0,17516.0,33880.0,121.00000000000001,49653.0,135195.0,1090.1,10.49,124.0
2011,18100.0,32515.0,8583.960000000001,4355.44928,6987.86368,5073.38048,1938.41424,0.0,4651.0,754.0,2021.0,1.0,48221.0,13688.0,212.0,12.830000000000002,80.0
2011,18140.0,1150122.0,276029.28,201915.41832000003,270094.65048,170448.0804,90031.55016,0.0,251029.0,52123.0,99145.0,641.0,51246.0,458754.0,660.7,19.31,142.0
2012,18140.0,1150122.0,276029.28,198419.04744,270094.65048,167825.80224,87409.27200000001,0.0,237763.0,53508.0,104640.0,641.0,47621.00000000001,459902.0,684.6,18.95,175.0
2011,18180.0,149071.0,32050.265,19776.504215,29255.18375,19308.421275,8893.575859999999,0.0,24831.0,4662.0,8790.0,99.0,64885.0,61745.0,145.1,24.63,161.0
2012,18180.0,149071.0,32050.265,18723.3176,29723.26669,18957.359069999995,9010.596595,0.0,24327.000000000004,4490.0,9147.0,99.0,60932.0,60958.0,134.3,21.67,146.0
2012,19100.0,4241630.0,1197929.56,542108.0689399999,897198.64438,454647.13064,271990.90006,0.0,685145.0,177905.0,388443.0,1270.0,99391.0,1539106.0,1041.6,13.604871794871793,156.0
2011,19100.0,1789900.0,506541.70000000007,246404.7936,343940.02440000005,200203.8948,107802.09720000002,0.0,309403.0,69492.0,144936.0,391.0,56265.0,668816.0,452.7,15.680000000000001,101.0
2011,19430.0,532562.0,121424.136,85927.813576,123752.497064,61259.54173599999,48925.405816,0.0,89082.0,30580.0,50141.0,249.0,45237.0,198613.0,636.9,20.42,121.0
2012,19430.0,532562.0,121424.136,87572.365032,127863.875704,59614.99028,49336.54368,0.0,88235.0,29016.0,51277.0,249.0,40885.0,196648.0,477.9,18.86,131.0
2012,19740.0,2441846.0,614508.934,327462.36763800005,357531.17366200004,347368.744894,102285.23057999999,0.0,491286.0,119015.0,166755.0,1585.0,318339.0,903613.0,2192.1,17.255013368983956,748.0
2011,19740.0,2441846.0,614508.934,338546.24168,341368.010674,354189.20905,100189.74757600001,0.0,490901.0,104912.0,163378.0,1585.0,329346.0,903802.0,2059.3,16.92702290076336,917.0
2012,19780.0,429439.0,109077.50600000001,65353.74477599999,88419.77234400001,63751.937306,24667.835038,0.0,88421.0,14848.0,31052.999999999996,31.000000000000004,54328.0,180449.0,384.2,19.89,151.0
2011,19780.0,429439.0,109077.50600000001,67275.91374,86817.96487400001,64072.2988,25949.281014,0.0,90193.0,13725.999999999998,29298.000000000004,31.000000000000004,56979.99999999999,180921.0,465.2,14.939999999999998,145.0
2012,19820.0,3962783.0,960556.6259999999,605187.598204,942559.1387960002,524565.359656,329973.933828,0.0,679155.0,251587.0,343352.0,1475.0,149161.0,1394867.0,1532.6,18.138188405797106,690.0
2011,19820.0,3131356.0,769328.416,501839.05139999994,728593.6994640001,410477.61028799997,256042.00651200002,0.0,549104.0,218480.0,307090.0,1371.0,110132.0,1109947.0,1280.5,18.745047801147226,523.0
2012,20100.0,157741.0,39750.732,26311.829764,38582.817636,18878.44288,13804.861356,0.0,22979.0,6107.0,14232.0,28.0,51490.0,57160.00000000001,665.2999999999998,14.18,228.0
2011,20100.0,157741.0,39750.732,27137.76164,38228.846832,19232.413684,13450.890552,0.0,22170.0,5800.0,13659.0,28.0,55179.0,56270.0,617.7,14.72,223.0
2011,20260.0,197767.0,38564.565,34865.333264999994,44099.074495,32158.89187,11621.777754999996,0.0,28135.000000000004,9945.0,11486.0,161.0,43954.0,71946.0,270.7,19.31,94.0
2011,20500.0,269706.0,63380.91,32805.68931,60246.92628,28679.187510000003,19188.23337,0.0,60712.0,11074.0,22982.0,399.0,51292.0,94670.0,551.2,18.08,99.0
2012,21340.0,751296.0,235906.944,84008.416128,122662.59532799998,85554.583296,43292.680704,0.0,113761.0,30262.0,84895.0,96.0,36064.0,245264.0,458.9,17.2,118.0
2012,21660.0,351109.0,69870.691,50904.13392899999,76215.581739,46685.559294,21655.349793,0.0,56052.0,20378.0,22359.0,208.0,40545.0,111589.0,365.9,24.18,137.0
2011,21660.0,351109.0,69870.691,52029.087165,72840.722031,48091.750839,19405.443321,0.0,51340.0,21761.0,22106.0,208.0,43614.0,110809.0,339.0,25.52,167.0
2011,21820.0,98660.0,25651.600000000002,15842.8228,18617.142,15258.755599999999,3796.4368,0.0,18992.0,3348.0,6825.999999999999,23.0,65472.99999999999,34915.0,613.5,13.209999999999999,93.0
