cbsacode,year,gdp
10780.0,2018,6312319.0
10780.0,2019,6439942.0
10780.0,2020,6447733.0
10780.0,2021,7094722.0
10780.0,2022,7458386.0
10820.0,2011,1725490.0
10820.0,2012,1881005.0
10820.0,2013,1913918.0
10820.0,2014,1792807.0
10820.0,2015,1926597.0
10820.0,2016,2003707.0
10820.0,2017,1902245.0
10820.0,2018,1979134.0
10820.0,2019,2065398.0
10820.0,2020,2094421.0
10820.0,2021,2336951.0
10820.0,2022,2518850.0
10860.0,2011,2535493.0
10860.0,2012,2881619.0
10860.0,2013,2835252.0
10860.0,2014,3004302.0
10860.0,2015,2254293.0
10860.0,2016,1672543.0
10860.0,2017,1883366.0
10860.0,2018,2133009.0
10860.0,2019,2173544.0
10860.0,2020,1649347.0
10860.0,2021,1799559.0
10860.0,2022,2076999.0
10900.0,2011,36883410.0
10900.0,2012,38001713.0
10900.0,2013,38922845.0
10900.0,2014,40139122.0
10900.0,2015,41844921.0
10900.0,2016,43489631.0
10900.0,2017,44541436.0
10900.0,2018,45594626.0
10900.0,2019,48318922.0
10900.0,2020,47150878.0
10900.0,2021,50706921.0
10900.0,2022,55053075.0
10940.0,2011,1186555.0
10940.0,2012,1257590.0
10940.0,2013,1280445.0
10940.0,2014,1277750.0
10940.0,2015,1251750.0
10940.0,2016,1217774.0
10940.0,2017,1294516.0
10940.0,2018,1388298.0
10940.0,2019,1388940.0
10940.0,2020,1516124.0
10940.0,2021,1672657.0
10940.0,2022,1881510.0
10980.0,2011,1026901.0
10980.0,2012,969248.0
10980.0,2013,1007310.0
10980.0,2014,1020372.0
10980.0,2015,1063517.0
10980.0,2016,1047008.0
10980.0,2017,1056755.0
10980.0,2018,1076870.0
10980.0,2019,1118564.0
10980.0,2020,1128840.0
10980.0,2021,1251747.0
10980.0,2022,1369723.0
11020.0,2011,5043764.0
11020.0,2012,5092472.0
11020.0,2013,5251589.0
11020.0,2014,5363527.0
11020.0,2015,5558760.0
11020.0,2016,5718753.0
11020.0,2017,5849536.0
11020.0,2018,6058725.0
11020.0,2019,6329804.0
11020.0,2020,6279352.0
11020.0,2021,6800618.0
11020.0,2022,7247654.0
11060.0,2011,922903.0
11060.0,2012,924004.0
11060.0,2013,946389.0
11060.0,2014,1068690.0
11060.0,2015,980018.0
11060.0,2016,1000998.0
11060.0,2017,1037503.0
11060.0,2018,1037344.0
11060.0,2019,1120323.0
11060.0,2020,1141922.0
11060.0,2021,1240257.0
11060.0,2022,1398403.0
11100.0,2011,11397195.0
11100.0,2012,11571639.0
11100.0,2013,12125922.0
11100.0,2014,12660264.0
11100.0,2015,13092595.0
11100.0,2016,13000018.0
11100.0,2017,13044032.0
11100.0,2018,13721124.0
11100.0,2019,14377102.0
11100.0,2020,14757190.0
11100.0,2021,16137523.0
11100.0,2022,17475111.0
11140.0,2011,1070535.0
11140.0,2012,1115796.0
11140.0,2013,1152073.0
11140.0,2014,1099722.0
11140.0,2015,1127993.0
11140.0,2016,1109397.0
11140.0,2017,1143187.0
11140.0,2018,1178029.0
11140.0,2019,1212591.0
11140.0,2020,1223751.0
11140.0,2021,1259443.0
11140.0,2022,1456866.0
11180.0,2011,5038110.0
11180.0,2012,5314591.0
11180.0,2013,5776280.0
11180.0,2014,6032207.0
11180.0,2015,6195773.0
11180.0,2016,6166603.0
11180.0,2017,6445208.0
11180.0,2018,6701531.0
11180.0,2019,6935487.0
11180.0,2020,6949341.0
11180.0,2021,7709050.0
11180.0,2022,8274669.0
11200.0,2011,5963119.0
11200.0,2012,6189908.0
11200.0,2013,6387480.0
11200.0,2014,6533699.0
11200.0,2015,7031476.0
11200.0,2016,7285158.0
11200.0,2017,7605323.0
11200.0,2018,7862815.0
11200.0,2019,8222225.0
11200.0,2020,8130621.0
11200.0,2021,8565719.0
11200.0,2022,9217154.0
11220.0,2011,1525326.0
11220.0,2012,1583136.0
11220.0,2013,1655816.0
11220.0,2014,1689779.0
11220.0,2015,1696152.0
11220.0,2016,1802042.0
11220.0,2017,1854588.0
11220.0,2018,1931304.0
11220.0,2019,2022963.0
11220.0,2020,1980213.0
11220.0,2021,2132925.0
11220.0,2022,2383580.0
