year,GeoFIPS,gdp
2011,08059,23620941.0
2011,08061,78313.0
2011,08063,398850.0
2011,08065,229033.0
2011,08067,3412819.0
2011,08069,12545315.0
2011,08071,703438.0
2011,08073,227077.0
2011,08075,994646.0
2011,08077,5586261.0
2011,08079,56148.0
2011,08081,1237410.0
2011,08083,1895789.0
2011,08085,1308102.0
2011,08087,1266641.0
2011,08089,498990.0
2011,08091,150864.0
2011,08093,331785.0
2011,08095,233205.0
2011,08097,1606151.0
2011,08099,493822.0
2011,08101,5173892.0
2011,08103,921883.0
2011,08105,361278.0
2011,08107,1912625.0
2011,08109,163621.0
2011,08111,34788.0
2011,08113,462789.0
2011,08115,125255.0
2011,08117,1924268.0
2011,08119,763128.0
2011,08121,249653.0
2011,08123,11239384.0
2011,08125,713246.0
2011,09001,78194550.0
2011,09003,71048385.0
2011,09005,7682557.0
2011,09007,8169283.0
2011,09009,43010619.0
2011,09011,16077368.0
2011,09013,4673190.0
2011,09015,4202783.0
2011,10001,6738419.0
2011,10003,45752006.0
2011,10005,8888999.0
2011,11001,109953858.0
2011,12001,10585100.0
2011,12003,514060.0
2011,12005,6912013.0
2011,12007,573311.0
2011,12009,19375620.0
2011,12011,80563519.0
2011,12013,226111.0
2011,12015,3846524.0
2011,12017,3681391.0
2011,12019,3827014.0
2011,12021,13069323.0
2011,12023,1690453.0
2011,12027,809451.0
2011,12029,226237.0
2011,12031,47463879.0
2011,12033,12521592.0
2011,12035,1668273.0
2011,12037,300409.0
2011,12039,1271679.0
2011,12041,272898.0
2011,12043,215859.0
2011,12045,310985.0
2011,12047,334186.0
2011,12049,1025499.0
2011,12051,1149142.0
2011,12053,3110420.0
2011,12055,2194713.0
2011,12057,66128874.0
2011,12059,324999.0
2011,12061,4566878.0
2011,12063,1245447.0
2011,12065,216570.0
2011,12067,150566.0
2011,12069,7014422.0
2011,12071,21973168.0
2011,12073,12306290.0
2011,12075,676823.0
2011,12077,166233.0
2011,12079,340102.0
