Year,cbsacode,Sample_Size,Data_value,Data_value_unit,population_raw,under_18_pct,excessive_drinking,no_leisure_time_activity,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n,smo_obe_dia,smo_obe,smo_dia,obe_dia
2011,10740,2880,21.78,%,857903.0,211769.371,85547.993919,0.0,143682.0,30309.0,73613.0,174.0,182856.0,303398.0,1239.8,37141102.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524,-0.8344721058820986,-0.653401996420492,-0.6502305324200875,-0.7399752908492754
2011,11260,482,17.54,%,374553.0,98423.291,49694.181723999995,0.0,70584.0,14187.0,27308.0,147.0,145971.0,132468.0,1110.0,22852724.0,926977.9378,0.22558668,0.0,0.0,0.0,-1.0622467239050084,-0.8675163876343065,-0.8531600672849394,-0.8811602993141744
2011,12060,15892,13.45,%,5503952.0,1483402.583,605445.2490405126,0.0,1066375.0,260002.00000000003,457387.0,1928.0,1608146.0,1942529.0,8768.199999999999,282418574.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855,2.003696499893732,1.6881918405898522,1.6784034852448049,1.5420987239728743
2011,12260,1442,15.61,%,547067.0,138751.524,56390.564574,0.0,78056.0,24444.0,56538.0,156.0,298566.0,185331.0,3372.0,22186340.0,3976.123756,0.400426965,1531.9767615940325,40.12234238527965,4.028891232288886,-0.8812699926278368,-0.7364806026031091,-0.6984539744591493,-0.7236190610464681
2011,12420,1205,15.76,%,1705075.0,429922.777,258215.9653438634,0.0,374121.0,61456.00000000001,112860.0,911.0,280085.0,607740.0,2275.9,97352466.0,110240.4282,0.20639744,22763.419503266327,4618.3383784551115,191.1061681479295,-0.3464580016534556,-0.22443643725582096,-0.26263505087043515,-0.3610986543636489
2011,12580,3689,15.529999999999998,%,2690886.0,622167.9260000001,334143.82303800003,0.0,499056.0,103603.0,217637.0,1840.0,520302.0,995330.0,2632.3999999999996,158031305.0,80226.52268,0.295856965,19938.785830424873,2685.184036326515,66.89503699754884,0.5283948846467655,0.4960284467424123,0.47730324450635164,0.3217133021275333
2011,12940,2090,17.18,%,809821.0,201821.70099999997,97469.96082026922,0.0,114890.0,24946.0,77104.0,189.0,448106.00000000006,297991.0,3906.6,50582174.0,7001.38863,0.391811024,0.0,0.0,0.0,-0.7044592846925772,-0.5816530273146091,-0.5527895838769366,-0.5909504651782755
2011,13740,843,24.88,%,163339.0,38435.606,21475.463628,0.0,26242.0,4161.0,10051.0,20.0,151632.0,63365.0,621.0999999999999,8492009.0,1664.692233,0.19761568,544.6174327085017,50.77201594253511,5.931671171913574,-1.188239075738978,-0.9935458920783177,-0.9556417771827209,-0.9613774568352419
2011,13820,2135,19.619999999999997,%,1131070.0,273088.49,116344.781689,0.0,192028.00000000003,48135.0,90337.0,391.0,330533.0,418026.0,2177.1,52786173.0,16320.91819,0.463629043,9073.89795499133,1727.1996321612723,106.99731581387152,-0.40849683748835036,-0.3236057894744538,-0.29325902073885063,-0.3833230948765618
2011,13900,456,18.24,%,107929.0,24338.265,16610.386915,0.0,21122.0,2518.0,5562.0,35.0,155205.0,46733.0,555.7,5594894.0,1736.474756,0.198427523,642.4773467098723,45.36378883629449,11.469352533860206,-1.2237621133724392,-1.0235002041106644,-0.9864751548039247,-0.9876249015873853
2011,14260,1645,19.84,%,606376.0,167263.87399999998,69229.44915928549,0.0,110927.0,25728.999999999996,36155.0,31.0,231701.0,211776.0,1084.4,24490187.0,620433.4304,0.208713041,2206.515713154024,296.2913042890497,8.04377646326392,-0.959397827665163,-0.78921343733218,-0.7690089258066211,-0.7917130340308396
2011,14460,2214,16.97436314363144,%,4588680.0,994384.2340000002,688042.55135,0.0,938168.0,190134.0,261322.0,5259.0,483898.0,1580615.0,1771.3000000000002,340945790.0,219190.7325,0.202725966,52465.22711054922,9029.077343771218,640.160290558974,1.2782058757574029,1.1177463926297253,1.1237232168490803,0.8905972556770246
2011,15540,1416,22.2,%,208055.0,43749.157,32642.090556999996,0.0,38237.0,7451.0,13359.0,300.0,171697.0,80777.0,622.5,11657389.0,6455.318154,0.201765352,567.9783589495797,17.998255637169226,1.3720435753676412,-1.1829498718946005,-0.9858085253910729,-0.9524629591662701,-0.9593314420493744
2011,16620,642,21.35,%,226394.0,48695.505,20410.020279000004,0.0,30671.999999999996,6975.0,15633.0,119.0,102624.0,77741.0,740.6,12472917.0,1281.325352,0.321453418,1763.3109332249928,155.48862658104713,7.625331590277481,-1.0955570828271124,-0.9234588790847822,-0.8706690017095717,-0.8893546096269459
2011,16700,774,15.34,%,659191.0,153644.768,99253.558156,0.0,116239.0,31345.0,56305.0,181.0,159881.0,244595.0,1757.1999999999998,30427282.0,8568.514124,0.509772154,5244.440427058826,352.14635824121626,53.84094877403405,-0.8163886652427317,-0.676297235393574,-0.6436560440378378,-0.6796213905804918
2011,16740,3663,16.7,%,2230695.0,577749.517,225023.420678,0.0,403693.0,132494.0,168419.0,428.0,528025.0,807429.0,4818.8,120305020.0,34197.42238,0.378159463,14189.522760150245,1801.2119537347046,36.493393795781785,0.1691715262781647,0.20822542984914855,0.18512473563781065,0.021816949770768205
2011,16980,8138,16.52,%,9415185.0,2396005.8630000004,1394146.1832299998,0.0,1762426.0,479049.0,723905.0,4820.0,852594.0,3071633.0,3270.5000000000005,537476155.0,264239.4571,0.204633377,105414.9172620052,17765.80769467855,2547.641416823371,4.576177848070297,4.158539752354235,3.8812367641898193,3.172974110227038
