CBSA Code,Num_Parks,Park_Area_Acres,Num_County,Num_Urban_Area,County_FIPS,Weighted_RESP,Weighted_UHI
20100,42,958.1472845,1,3,10001,0.214407187,0.87231527
20140,11,296.1799606,2,2,"13167, 13175",0.4,0.09495553
20180,106,196058.7623,1,10,42033,0.2,0.321817775
20220,68,2682.736825,1,2,19061,0.2,0.789521121
20260,208,20984.49201,3,7,"27137, 27017, 55031",0.188326647,0.66436787
20300,14,73.43882928,1,2,48341,0.2,0.058846889
20340,12,144.3415402,1,2,40137,0.22990211,1.039427795
20420,33,1875178.266,1,2,8067,0.1,2.205378691
20460,9,154.925749,1,1,40013,0.3,-0.149207006
20500,235,9491.766414,4,8,"37135, 37063, 37037, 37145",0.358059868,0.26515301
20540,12,118.7106299,1,1,47045,0.3,-0.256681303
20580,29,287.4185736,1,1,48323,0.233829618,0.12293532
20660,7,371.1020019,1,2,24041,0.293444777,0.071550128
20700,265,109930.1785,1,5,42089,0.20447028,0.320641878
20740,101,4082.444838,2,3,"55035, 55017",0.2,0.4953787
20780,80,6421.219314,1,5,8037,0.096451176,0.663246474
20820,6,115.9775755,1,1,17049,0.2,0.913493871
20900,20,308.1613514,1,2,48481,0.25,-0.256526265
20940,69,356.3478647,1,4,6025,0.245651848,0.274910055
20980,8,72.33853321,1,1,5139,0.540721032,0.096321285
21020,7,81.54249038,1,1,37139,0.230900571,0.623733261
21060,20,904.8539316,2,2,"21123, 21093",0.304122198,0.168651465
21120,11,334.7161304,1,2,40009,0.2,0.183159728
21140,79,1568.932431,1,4,18039,0.20254674,0.063330175
21180,8,920598.363,1,1,54083,0.2,0.588918781
21220,11,165.3075317,1,2,32007,0.095645868,-0.370045389
21260,53,381867.8905,1,5,53037,0.2,0.54796093
21300,51,1395.633863,1,1,36015,0.2,-0.163611911
21340,355,32914.54792,1,5,48141,0.204570285,-0.401733919
21380,15,248.4473208,1,1,20111,0.4,0.593604183
21420,29,511.2852433,1,1,40047,0.32237067,-0.781328412
21460,2,151.535686,1,1,1031,0.4,-0.080989876
21500,396,28726.12926,1,8,42049,0.2,0.216308357
21540,14,898718.3443,1,1,26041,0.189609782,0.72014949
21580,6,1489994.663,1,1,35039,0.116139706,0.293314179
21640,6,770.1260951,2,1,"01005, 13239",0.49779225,0.39429878
21660,289,2337868.63,1,8,41039,0.346132129,0.689628411
21700,73,3270.927808,1,4,6023,0.230225221,1.082281976
21740,15,223.3996113,1,1,56041,0.13911438,-0.318864727
21780,58,1856.274272,3,3,"18173, 18163, 18129",0.326350669,0.371057749
21820,17,2113.883618,1,1,2090,0.279356611,0.24725859
21860,24,227.1613182,1,1,27091,0.2,2.007600812
21900,13,186.9458299,1,2,54049,0.3,0.522574089
21980,9,1060.118232,1,1,32001,0.2,0.401772473
22020,193,2628.993647,2,1,"27027, 38017",0.238122784,0.295784807
22060,101,2781.602312,1,3,27131,0.2,0.461478272
22100,14,8631.497051,1,1,29187,0.3,1.115793024
22140,52,4318.081666,1,4,35045,0.281296424,-0.255690955
22180,49,1800.282562,2,1,"37051, 37093",0.326221214,0.097482496
22190,2,56.24368419,1,1,47103,0.3,-0.03695738
22220,160,43792.65155,2,2,"05007, 05143",0.304020173,0.15682723
22260,27,500.9586269,1,2,27111,0.196213377,0.171110268
22300,20,824.3746922,1,2,39063,0.2,0.332819914
22340,8,156.3933197,1,1,13017,0.4,0.196677265
22380,58,3459990.485,1,7,4005,0.133883819,-0.093335052
22420,100,6239.702143,1,2,26049,0.2,0.088678505
22500,35,1258.065533,2,3,"45031, 45041",0.370265785,0.036312214
22520,27,1912.771401,2,2,"01033, 01077",0.373851992,0.054948262
22540,51,1899.935149,1,3,55039,0.201583915,0.591486256
22580,11,21749.04775,1,2,37161,0.345207422,0.03796742
22620,7,38.4261525,1,1,5123,0.3,-1.072666851
22660,243,1907304.698,1,4,8069,0.192262287,0.037536165
22700,33,882.1451227,1,1,19187,0.2,-0.692787711
22780,4,132.4036489,1,1,29169,0.3,-0.615699964
22800,17,351.3696828,1,2,19111,0.2,3.572830656
22820,16,300.7155117,1,2,8087,0.2,-0.022696231
22840,5,15.49932078,1,1,1049,0.4,0.109741224
22900,54,2907.365994,3,4,"05033, 05131, 40135",0.369193279,0.114681703
23060,141,4492.779292,3,4,"18003, 18179, 18183",0.20865718,0.188610081
23140,6,82.96221442,1,1,18023,0.2,0.32087596
23180,12,697.7845845,2,2,"21005, 21073",0.3,0.709008494
23190,2,172.580538,1,1,21213,0.3,-0.443475112
23240,11,876.9051598,1,1,48171,0.2,-0.09256203
23300,7,256.7317295,1,2,17177,0.2,0.182758657
23340,17,1006.795865,1,1,31053,0.2,0.10224666
23380,24,402.3687878,1,3,39143,0.2,-0.053695075
23420,405,4951.332426,2,16,"06019, 06039",0.320751443,0.180681765
23460,17,446.225423,1,2,1055,0.400887954,0.426741635
23500,7,22.71392846,1,1,45021,0.4,0.18669833
23540,118,33057.89084,3,5,"12001, 12041, 12075",0.31673181,0.180859719
23580,38,5884.030621,1,3,13139,0.415530108,0.469651754
23620,18,47416.49305,1,2,48097,0.3,-0.165426558
23660,26,470.2825369,1,3,17095,0.2,0.038432458
23680,7,71.84624645,1,1,39053,0.3,0.914026439
23700,12,133.0614626,1,1,35031,0.143122314,-0.207553174
23780,14,211.1372475,1,1,20055,0.2,0.086079939
23820,15,578.5776363,1,4,32005,0.178989417,1.999609396
23900,59,32655.90375,1,7,42001,0.25718568,0.292712629
23940,51,1093.849555,1,1,56005,0.129327695,0.019090697
23980,8,113.6518631,1,2,21009,0.3,0.442924993
24020,46,70215.65008,2,6,"36115, 36113",0.200115724,0.179705322
24100,13,235.6986223,1,1,36035,0.2,0.229824531
24140,19,310.1305757,1,2,37191,0.311510392,0.069604903
24180,20,380.0204011,1,2,48221,0.299397746,0.560674282
24220,56,1999.464336,2,2,"27119, 38035",0.206249949,0.696808208
24260,23,335.7583563,2,2,"31121, 31079",0.2,-0.355139328
24300,107,2967196.565,1,2,8077,0.129997062,0.487517173
24330,22,411.2342489,1,1,27061,0.2,0.569722293
24340,463,25100.90362,5,13,"26139, 26081, 26117, 26015, 26067",0.202114018,0.227211209
24420,26,293.8780498,1,1,41033,0.326841096,0.218459421
24460,9,212.5848864,1,2,20009,0.2,-0.327248273
24500,48,1410.731111,1,1,30013,0.207942948,-0.746018077
24540,209,3731.330065,1,10,8123,0.340778555,0.129823446
24580,219,5280.649456,3,7,"55009, 55061, 55083",0.158211216,0.349782464
24600,5,119.1401657,1,2,18133,0.2,0.45507885
24620,4,68.0412965,1,1,47059,0.3,-0.49374521
24640,54,5527.688709,1,3,25011,0.2,-0.021932867
24660,366,13649.26537,3,8,"37081, 37151, 37157",0.35200973,0.480491231
24700,5,82.81609763,1,2,18031,0.2,0.273175649
24740,18,339.7665967,1,3,28151,0.304963403,0.162809004
24780,34,955.4568641,1,3,37147,0.3,0.160519231
24820,15,395.5694406,1,3,39037,0.2,0.312134931
24860,186,5125.857784,4,8,"45077, 45007, 45045, 45059",0.386921867,0.031341867
24900,11,169.5864632,1,2,28083,0.321210626,0.748012442
24940,6,45.84452806,2,2,"45001, 45047",0.4,0.364917197
24980,6,82.5955437,2,2,"28043, 28097",0.4,0.189814302
25020,21,63.47673381,3,1,"72057, 72015, 72109",0.1,0.020035519
25060,106,1739.389741,4,4,"28045, 28047, 28059, 28131",0.330109676,0.2859238
25100,10,100.4572708,1,1,40139,0.2,0.342340679
25180,57,24358.1052,2,3,"24043, 54003",0.262258834,0.334846229
25200,28,2038686.298,1,2,16013,0.1,-0.102732322
25220,13,105.1749613,1,3,22105,0.383705327,-0.037445806
25260,29,294.7532916,1,3,6031,0.269314467,0.313232926
25300,12,587.5838767,1,2,29127,0.2,0.492363663
25420,609,219627.0722,3,10,"42041, 42043, 42099",0.219662255,0.521301632
25460,8,77.57257337,1,1,5009,0.3,-0.301826418
25500,31,660.7997561,2,4,"51165, 51660",0.264471129,0.110632073
25580,18,319.381215,1,1,31001,0.204500144,0.120894449
25620,16,447.9238288,1,1,28035,0.4,0.049639654
25700,23,411.5232657,1,1,20051,0.2,-0.009476522
25720,39,2139606.469,2,3,"49043, 49051",0.12222419,0.204649849
25740,47,7476.322201,1,1,30049,0.18405989,1.412674871
25770,149,124192.3602,1,4,42103,0.2,0.132845341
25775,11,869.3640755,1,1,21101,0.33037652,0.214139147
25780,7,68.46298858,1,1,37181,0.3,0.325753719
25820,11,210.6614647,1,1,48117,0.195516904,0.121703353
25840,70,14087.91721,2,6,"41049, 41059",0.210925076,1.245767111
25850,105,22147.70903,1,7,42085,0.203413801,0.024857539
25860,108,1647.678151,4,3,"37035, 37023, 37027, 37003",0.357241176,0.277168326
25880,10,167.7703191,1,1,26059,0.2,0.210842445
25900,67,8546.007292,1,8,15001,0.14020134,0.21517244
25940,61,16254.17802,2,5,"45053, 45013",0.376757331,0.207361865
