adult_smoking,adult_obesity,sti,excessive_drinking,population,under_18_pct,diabetes_prevalence,no_time_activity,edu_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,life_expectancy,65older,fipscode,diabetes_pop,obesity_pop,smoking_pop,drinking_pop,physical_inactivity,life_total
0.22,0.381,567.4,0.1529976171,48959,0.2283134868,0.128,0.329,7657,1009.0,3406.0,52,48493.0,16286.0,74.908845911,8733,1045,6266.752,18653.379,10770.98,7490.610335598901,16107.511,3667462.186956649
0.243,0.474,935.6,0.1278288674,36098,0.2325890631,0.173,0.412,4742,1570.0,5867.0,23,37679.0,12162.0,71.087503782,7053,1047,6244.954,17110.451999999997,8771.814,4614.366455405199,14872.375999999998,2566116.711522636
0.25,0.353,299.2,0.1440018372,71658,0.2396103715,0.13,0.405,8831,1388.0,3557.0,21,47156.0,25019.0,73.842478266,12839,1049,9315.54,25295.273999999998,17914.5,10318.883650077601,29021.49,5291404.307585028
0.204,0.358,561.5,0.160762107,82158,0.2196864578,0.118,0.331,12093,1777.0,4178.0,21,62524.0,30115.0,75.289530854,13411,1051,9694.644,29412.564,16760.232,13207.893186906,27194.298000000003,6185637.2759029325
0.246,0.387,690.6,0.1407605286,36281,0.2230368512,0.145,0.391,3662,864.0,3476.0,30,41212.0,11296.0,72.208512051,6794,1053,5260.745,14040.747000000001,8925.126,5106.932738136599,14185.871000000001,2619797.025722331
0.235,0.345,609.2,0.1535866531,102371,0.2135175001,0.119,0.339,14027,3126.0,7507.0,135,47872.0,37095.0,72.537031187,20061,1055,12182.149,35317.994999999995,24057.184999999998,15722.8192645001,34703.769,7425688.419644376
0.245,0.371,429.4,0.1547976348,16241,0.2112554646,0.123,0.354,1806,326.0,1006.0,2,45937.0,5240.0,73.059710184,3575,1057,1997.643,6025.411,3979.045,2514.0683867868,5749.313999999999,1186562.753098344
0.228,0.379,382.6,0.1544392324,31507,0.2472466436,0.127,0.372,3343,638.0,2572.0,1,40448.0,10734.0,73.676389027,5444,1059,4001.389,11941.153,7183.5960000000005,4865.916895226799,11720.604,2321321.989073689
0.252,0.359,411.1,0.1539123168,26411,0.2166521525,0.121,0.354,2809,444.0,1573.0,6,39882.0,8904.0,72.630878775,5604,1061,3195.7309999999998,9481.548999999999,6655.572,4064.9781990048,9349.493999999999,1918254.139326525
0.282,0.47,1158.9,0.1104611201,7990,0.2147684606,0.205,0.459,872,328.0,1236.0,1,33609.0,1659.0,72.860772885,1950,1063,1637.9499999999998,3755.2999999999997,2253.18,882.584349599,3667.4100000000003,582157.57535115
0.258,0.438,1174.0,0.1370031534,14670,0.2327880027,0.161,0.395,1650,572.0,1747.0,4,41836.0,4719.0,72.54515094,2960,1065,2361.87,6425.46,3784.86,2009.836260378,5794.650000000001,1064237.3642898
0.225,0.385,587.0,0.1594232706,17223,0.2039133717,0.126,0.349,1918,327.0,837.0,4,51126.0,5872.0,75.537585201,4067,1067,2170.098,6630.8550000000005,3875.175,2745.7469895438,6010.826999999999,1300983.829916823
0.217,0.402,693.2,0.1494374252,106580,0.2281103397,0.126,0.359,15657,2497.0,7942.0,170,54391.0,38706.0,75.648321725,19910,1069,13429.08,42845.16,23127.86,15927.040777816,38262.22,8062598.1294505
0.241,0.386,257.6,0.1590360172,51582,0.2056143616,0.122,0.357,6097,1203.0,2735.0,29,46606.0,16668.0,73.268808729,10897,1071,6293.004,19910.652000000002,12431.261999999999,8203.3958392104,18414.773999999998,3779351.691859278
0.176,0.342,898.6,0.165653545,655342,0.2272675946,0.126,0.304,124466,19675.0,54536.0,1379,57802.0,244098.0,74.060552348,109511,1073,82573.092,224126.964,115340.192,108559.72548739001,199223.968,48534990.49684302
0.25,0.364,369.4,0.1588006156,13764,0.2143998838,0.126,0.371,1500,278.0,845.0,2,40204.0,4640.0,75.261510187,3099,1075,1734.2640000000001,5010.096,3441.0,2185.7316731184,5106.4439999999995,1035899.426213868
0.205,0.327,490.7,0.1700132828,93368,0.1947133922,0.109,0.301,12469,2321.0,4722.0,153,52293.0,34870.0,75.94632606,19471,1077,10177.112,30531.336000000003,19140.44,15873.800188470399,28103.768,7090956.571570081
0.256,0.355,300.7,0.1610058869,32857,0.2155705025,0.124,0.35,4143,703.0,1693.0,43,48924.0,11447.0,72.860354717,6325,1079,4074.268,11664.234999999999,8411.392,5290.1704258733,11499.949999999999,2393972.674936469
0.184,0.336,448.5,0.1529454037,166831,0.2090858414,0.119,0.292,31806,3935.0,9271.0,178,58963.0,61846.0,77.719816714,21587,1081,19852.889,56055.216,30696.904,25516.034644674703,48714.651999999995,12966074.742213335
0.207,0.337,341.7,0.1597604553,102228,0.2204190633,0.112,0.31,15779,1900.0,4000.0,51,70850.0,37116.0,77.09611375,16088,1083,11449.536,34450.836,21161.196,16331.9918244084,31690.68,7881381.516435
0.256,0.458,925.4,0.1175767774,9641,0.2191681361,0.179,0.428,948,488.0,1154.0,0,37499.0,3022.0,70.301468043,1957,1085,1725.739,4415.578,2468.096,1133.5577109134,4126.348,677776.453402563
0.23,0.404,1228.7,0.1208068656,17895,0.1743503772,0.175,0.386,1993,773.0,1655.0,75,37736.0,5866.0,71.278186331,3803,1087,3131.625,7229.580000000001,4115.85,2161.838859912,6907.47,1275523.144393245
0.161,0.325,762.9,0.1762005853,379453,0.2158185599,0.106,0.278,72447,8668.0,21482.0,613,67810.0,153807.0,77.353246658,59238,1089,40222.018,123322.225,61091.933000000005,66859.8406938409,105487.93400000001,29351921.504118074
0.239,0.436,784.6,0.1390964841,18733,0.2213740458,0.15,0.398,2089,485.0,2221.0,6,43198.0,5862.0,71.033099769,3866,1091,2809.95,8167.588,4477.187,2605.6944366453,7455.734,1330663.057972677
0.243,0.359,296.2,0.1638104316,29703,0.2067804599,0.115,0.342,3819,661.0,1361.0,5,44333.0,9936.0,73.078828998,6424,1093,3415.8450000000003,10663.377,7217.829,4865.6612498148,10158.426000000001,2170660.4577275943
0.223,0.38,336.9,0.1430833352,96990,0.2512011548,0.124,0.362,12458,1845.0,6434.0,261,51417.0,33782.0,73.893120847,16922,1095,12026.76,36856.2,21628.77,13877.652681047999,35110.38,7166893.79095053
0.214,0.364,811.0,0.1702700637,412716,0.2322832165,0.131,0.321,63704,15121.0,34793.0,441,50871.0,148366.0,74.441641678,70526,1097,54065.796,150228.62399999998,88321.224,70273.1796100092,132481.836,30723256.586777445
0.253,0.411,564.3,0.1469296993,20459,0.2070482428,0.151,0.412,1611,610.0,2019.0,22,38812.0,6068.0,73.288869531,4448,1099,3089.3089999999997,8408.649,5176.127,3006.0347179787,8429.108,1499416.9817347291
0.201,0.376,1134.3,0.1501692634,224639,0.2343983013,0.14,0.319,39851,8368.0,23278.0,394,49607.0,82400.0,75.248792407,35947,1101,31449.460000000003,84464.264,45152.439000000006,33733.8731609126,71659.841,16903813.477516074
0.206,0.345,396.1,0.1487018877,119883,0.2285728585,0.115,0.312,15892,2634.0,6583.0,193,55688.0,45264.0,74.195469777,21897,1103,13786.545,41359.634999999995,24695.897999999997,17826.8284031391,37403.496,8894775.503276091
0.254,0.462,818.1,0.1143507061,8687,0.2031771613,0.189,0.434,712,373.0,1287.0,5,33712.0,1873.0,70.790399594,1814,1105,1641.843,4013.3940000000002,2206.498,993.3645838907,3770.158,614956.201273078
0.234,0.401,612.1,0.1483701696,19793,0.1912797454,0.146,0.383,2504,499.0,1750.0,7,41870.0,5635.0,73.91421578,3927,1107,2889.778,7936.993,4631.562,2936.6907668927997,7580.719,1462984.0729335402
0.206,0.363,954.3,0.1424461724,32966,0.1904386337,0.139,0.338,4486,772.0,2624.0,22,43141.0,11580.0,73.931379851,5194,1109,4582.274,11966.658,6790.995999999999,4695.8805193384,11142.508000000002,2437221.8681680663
0.233,0.345,554.5,0.1507626845,22920,0.2089877836,0.12,0.347,2377,447.0,1337.0,6,46679.0,7578.0,73.921619865,4892,1111,2750.4,7907.4,5340.360000000001,3455.48072874,7953.24,1694283.5273058
