geoid_short,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,coverage_50,coverage_60,coverage_70,coverage_80,noise50n,noise60n,noise70n,noise80n
10001,127351.15819996332,22199.331569711187,4691.675073270405,516.0000000698492,21.00000002980232,21746.451730172725,3400.494569812723,567.8038534142972,18.93998089254968,0.6088262683534522,154779.16484304456,27428.006643081244,5228.675073370056,537.0000000996515,25734.29896056065,3987.847230387923,587.3526605752004,19.548807160903134
10003,73662.92688348937,24339.453163044403,8472.11467938816,799.9999998770004,45.99999994970858,53608.39023987608,16243.08932260002,4911.8609387354045,344.70121705458075,44.86755842754163,107320.49472574865,33657.56784225927,9318.114679214868,845.999999826709,75152.90927669364,21544.51903681755,5301.429714217526,389.56877548212236
10005,48740.586827887615,15035.346668338034,2706.7611829301554,108.00000002980232,11.999999992549423,7067.300871167067,1914.3229442564705,387.22596899760134,11.574593194702125,2.0018476829041942,66602.69467917815,17862.10785129054,2826.761182952507,120.00000002235174,9382.426225298746,2315.1253541316783,400.8024098752077,13.57644087760632
10010,23511.620450624712,7626.666194945786,1517.0250018245604,163.68256414687494,9.0,2020.6802530694365,888.9309315639105,140.26895053752065,8.561271032163594,0.366721113972461,32827.99421154193,9316.37376091722,1689.7075659714353,172.68256414687494,3058.8081273170033,1038.1278742475672,149.19694268365672,8.927992146136056
10030,99958.46258839028,32660.40288185515,8042.347555051557,733.2711857226965,216.00000002048913,11261.597890487856,3568.466710845834,789.5654099917257,89.52708177356334,30.469504580449467,141610.48421104017,41652.02162264989,8991.618740794742,949.2711857431856,15739.62659767943,4478.028707191573,909.5619963457384,119.9965863540128
10059,18623.78415891111,6729.084844861393,988.5802031482096,8.000000011175871,19.99999999301504,649.6328038989064,182.32333733226375,45.32984045595026,0.554221394836271,0.1217594868778996,26369.449206924903,7745.665048013794,1016.5802031524006,28.000000004190913,877.9619625688347,228.32915866992818,46.00582133766443,0.6759808817141706
10070,17900.935016307412,6546.870284569553,344.10895454957046,72.9999999743304,6.03706300258636,463.93394259937344,198.93287738216395,7.679448502829602,0.9913720668152419,0.0450532667473823,24870.95131840345,6970.016302096041,423.1460175264872,79.03706297691676,671.5826938179296,207.64875121855619,8.715873836392227,1.0364253335626241
10090,23229.57277847901,11019.356569260073,978.6145315771258,165.5673805238913,12.0,796.2996676759219,400.26499472508254,45.0341597065181,6.329734844960141,0.30156208595498,35405.1112598401,12175.53848136109,1156.1819121010171,177.5673805238913,1248.2301190384376,451.9304513625157,51.66545663743322,6.631296930915121
10119,9498.99079033405,3427.473795853821,1.0,0.0,0.0,128.45698344418946,44.056808011888194,0.0186098186569821,0.0,0.0,12927.46458618787,3428.473795853821,1.0,0.0,172.53240127473464,44.07541783054518,0.0186098186569821,0.0
10139,28320.182351410618,9245.089773039677,3030.7504057606848,371.4323538801696,45.62956501520239,649.4235574920776,229.36346628608382,65.13429667818689,11.965077695409969,1.8681427294637425,41013.084449106354,12692.902097695733,3447.8123246560567,417.061918895372,957.754540881222,308.33098338914436,78.9675171030606,13.833220424873712
10150,37590.85086968887,13877.93816093477,3163.10466326671,211.63957118097457,31.57365771010518,5876.176021675871,1818.3728524857345,528.2945806040549,34.984261712007765,4.105639241185106,54875.10692278143,17284.25605309256,3406.3178921577896,243.21322889107975,8261.933355718853,2385.757334042982,567.3844815572478,39.08990095319287
10159,1155.7397029769884,481.47716718450727,62.2950806002045,28.3253406051081,3.42634235695004,0.10859740743724,0.0459278830031367,0.0062097480094862,0.002823549239296,0.000341547397096,1731.2636337237582,575.5239307467699,94.04676356226264,31.75168296205814,0.16390013508625492,0.0553027276490149,0.0093748446458782,0.003165096636392
10179,22014.111282852726,7387.431192933094,1183.4497216335255,110.08687980388284,29.999999942258,1103.6453516184545,430.16873391786754,60.69238694313221,6.320567593674419,3.328313906265222,30725.079077165487,8710.96779431276,1323.5366013796663,140.08687974614082,1604.155353979394,500.5100023609394,70.34126844307185,9.648881499939641
10199,14620.022656156973,5304.587583195707,188.97893893980694,0.0,0.0,299.7005595448514,138.26667628306015,12.228976258364524,0.0,0.0,20113.58917829249,5493.566522135514,188.97893893980694,0.0,450.19621208627603,150.49565254142468,12.228976258364524,0.0
10210,31733.68469817776,11628.719093361247,2504.9956872106677,320.4849509664052,16.962936986237768,1146.8952441329918,432.79654720901055,64.69239691511125,8.925044059567455,0.6501978809380423,46204.84736670232,14471.162668524557,2842.443575163311,337.447887952643,1653.9594301976192,507.06418606462734,74.26763885561674,9.575241940505498
10239,14387.52537760322,5946.5201085812605,65.0,11.0,37.0,78.02057404473265,34.38130229376936,0.431483712375735,0.071487237386302,0.225298414201865,20447.04548618448,6059.5201085812605,113.0,48.0,113.13014570246591,35.10957165773326,0.7282693639639021,0.296785651588167
10259,24350.72868353249,7932.127038051818,1158.6463854815966,69.9999999921347,22.00000001862645,452.758823285102,141.21327026605778,19.59383731456244,1.555234253271678,0.49951919883632195,33533.50210707667,9182.773423544175,1250.6463854923577,92.00000001076116,615.6206843178302,162.86186103272823,21.648590766670438,2.054753452108
