GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""22000""",Louisiana,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,210534660,214856125,223576040,234620824,249560897,247139726,234216420,237061610,241868813,253466936,241235869,242416842,236482281,243042891,239584133,235554191,239830737,245220304,246674444,228951277,237839193,236854127,248615513
" ""23000""",Maine,1,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,54066164,55406487,56882376,58934847,59589666,59985952,60032647,59845088,58771837,59958526,59429729,59181697,59013939,59589798,60562978,62037088,63000596,64806287,66758382,67410917,71142429,73036216,75195388
" ""24000""",Maryland,2,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,281053611,290400312,297690592,311504756,325644492,329874003,331763540,338165407,336285758,352622878,360155864,361561816,364633242,370343936,378745902,391950935,399714534,402480892,402506244,388782771,406953096,416406168,422866291
" ""25000""",Massachusetts,1,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,388180849,388451607,397069872,407886035,417075605,426926105,440373821,447526788,441307571,462330768,472664251,483286306,486991788,496250920,514398745,521662771,530129429,549262072,566326787,559764997,595911759,608052888,615504521
" ""26000""",Michigan,3,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,453301454,465788388,477085414,485082677,493796257,483763581,482935051,455256658,416297069,441271527,453989070,463302557,472779860,479534941,490618679,500159534,505101516,516842963,521085050,501893842,530380859,543720854,554256192
" ""27000""",Minnesota,4,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,263518737,268982848,280796863,293753938,301761219,302272714,304208003,309290354,296875220,308091853,315213316,321053857,329774497,338623914,345456250,350603608,354721890,364799702,369617386,357475563,377946995,384727672,390907909
" ""28000""",Mississippi,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,93515481,94561460,98762106,101369486,103691757,105879896,107713862,109434038,105360020,106711769,106491064,108646459,109032695,109299569,109401724,109911027,110281427,110174777,111207799,110322805,115675050,116557123,119548365
" ""29000""",Missouri,4,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,260381100,264997650,271970479,279128189,285341740,286558332,288320839,297881763,289566782,295986430,292984242,296514292,302025663,303617847,308009904,308423302,311273761,314182398,321329082,315332580,331580860,339652446,348487426
" ""30000""",Montana,7,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,32689630,33663844,35249512,36949912,38848976,40055038,42057663,42049328,40938421,42469794,43532195,44329081,45114692,46166675,47765609,47189605,48470545,49454951,50263472,49981446,53303661,55193879,57373329
" ""31000""",Nebraska,4,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,82268061,83433233,88310697,90607570,94555959,97322776,99780730,99860115,99986382,103940811,109734204,109686280,111382221,115651916,119640844,121303098,123219865,125543447,127568888,126734862,134939876,139440943,145019622
