,cbsa,population,depression rate
0,11460.0,369207.99999999977,0.2330173775671406
1,16980.0,9520783.999999989,0.17829457364341084
2,17140.0,2202596.9999999995,0.3050314465408805
3,17460.0,2058548.9999999995,0.284675615212528
4,19100.0,7340942.999999994,0.24751293274970154
5,19820.0,4321703.999999997,0.2149723274104282
6,23420.0,986541.9999999993,0.24090909090909088
7,25060.0,412946.0000000002,0.2842251563585824
8,26380.0,209893.00000000015,0.34439024390243894
9,26420.0,6905694.999999997,0.3094795539033457
10,28140.0,2127259.0,0.18986568986568989
11,29180.0,490106.9999999999,0.30165816326530603
12,29820.0,2183309.999999998,0.18070620816985922
13,30820.0,38837.0,0.3204353083434099
14,31080.0,13298709.00000002,0.20217512548800887
15,31420.0,229081.00000000006,0.32981783317353786
16,33100.0,6149687.000000001,0.2493946731234867
17,33460.0,3577765.0000000005,0.12608695652173912
18,35380.0,1270464.9999999993,0.2833492518306272
19,35620.0,19325698.000000015,0.19065390232029852
20,36660.0,83446.99999999996,0.3066132264529058
21,37980.0,6078451.000000002,0.2631163708086785
22,38060.0,4761693.999999997,0.2089230031182538
23,38900.0,2456461.9999999995,0.24644549763033172
24,40060.0,1269478.0000000007,0.2237786129142467
25,40140.0,4570427.0,0.20972313058643996
26,41180.0,2805850.0000000023,0.2
27,41620.0,1205237.9999999998,0.2512315270935961
28,41740.0,3325467.999999998,0.2854155776267642
29,41860.0,4710692.999999998,0.19478862973760933
30,41940.0,1993582.0000000007,0.2389330306469921
31,42660.0,3884468.999999998,0.2504139072847682
32,45940.0,368602.0000000001,0.25986277873070324
33,46140.0,991609.9999999998,0.3124118476727786
34,47260.0,1761305.0000000002,0.24912280701754386
35,47580.0,180019.00000000003,0.31086142322097376
