factor,cbsacode,adf_p_original,adf_p_final
Park_Area_Acres,10740,0.9925737814562162,0.16184872817551482
Park_Area_Acres,11260,2.70073561423559e-10,0.0
Park_Area_Acres,12060,1.7928410542178436e-06,1.2697528048478696e-09
Park_Area_Acres,12260,0.01202630057536751,1.352668764726728e-14
Park_Area_Acres,12420,0.9988792012115263,0.0
Park_Area_Acres,12580,1.0,0.0
Park_Area_Acres,12940,4.055298314136466e-07,3.7900658164677194e-08
Park_Area_Acres,13740,0.004713391679807978,0.02088485405846036
Park_Area_Acres,13820,0.9990859782194009,0.0
Park_Area_Acres,13900,0.10498332439220531,0.03776991994984236
Park_Area_Acres,14260,1.0,5.761903804984761e-11
Park_Area_Acres,14460,1.0,0.7387933620454895
Park_Area_Acres,15540,0.9940595765427476,5.7262324390410145e-05
Park_Area_Acres,16620,0.0,0.26667839440071905
Park_Area_Acres,16700,0.0029136118771256147,0.00045186334858519944
Park_Area_Acres,16740,0.998374793223033,3.0524154937083335e-28
Park_Area_Acres,16980,0.03214841333334071,0.03214841333333686
Park_Area_Acres,17140,0.19813824771515615,0.03964965056614131
Park_Area_Acres,17820,1.0,1.0
Park_Area_Acres,18140,0.38100432667896944,1.682370998365382e-29
Park_Area_Acres,19100,0.9953008777027417,0.0
Park_Area_Acres,19740,0.9983643431516803,0.2531166863466202
Park_Area_Acres,19780,1.001316927623434e-11,0.16397393104596109
Park_Area_Acres,19820,0.9912625985469907,1.3416616690739417e-22
Park_Area_Acres,20260,0.9932194301640015,4.212935446870493e-09
Park_Area_Acres,22020,0.9987387550457505,1.0
Park_Area_Acres,22220,1.0,0.0
Park_Area_Acres,24340,0.18457582482018836,0.10966346275508804
Park_Area_Acres,24860,1.0,7.576031643622067e-29
Park_Area_Acres,25180,1.0,0.25286954549599006
Park_Area_Acres,26420,0.8668041529903523,4.599791316495092e-30
Park_Area_Acres,26580,1.0091156399086119e-08,0.0
Park_Area_Acres,26900,0.9623892987057492,0.34292307673680406
Park_Area_Acres,28140,0.7166914236201354,0.7665289568723763
Park_Area_Acres,28940,0.0133431669744782,0.05551414776835197
Park_Area_Acres,30700,1.5827117192669127e-06,0.0
Park_Area_Acres,30780,0.8869350859989398,0.0
Park_Area_Acres,31080,0.9899365006216069,0.6730228589443549
Park_Area_Acres,31140,0.9615090875281239,0.9477669767027949
Park_Area_Acres,32820,0.21779485361740125,0.027994267422276866
Park_Area_Acres,33340,0.99892953403866,0.3759095186126393
Park_Area_Acres,33460,1.0,0.07587805815668554
Park_Area_Acres,34980,0.8457549724759625,0.6915165211173491
Park_Area_Acres,35380,0.4830942814269005,0.006471331992034588
Park_Area_Acres,35620,0.9851330814181929,0.0152080425999585
Park_Area_Acres,36260,0.6574694274203251,0.18452834553928915
Park_Area_Acres,36420,0.02055309612619952,0.7989904870377406
Park_Area_Acres,36540,0.9657413890289535,0.31084106608243434
Park_Area_Acres,37980,1.0,0.7680458351965395
Park_Area_Acres,38060,0.9373118326758227,0.10347911948423966
Park_Area_Acres,38300,0.48057613386380543,0.0
Park_Area_Acres,38860,0.022776242301871936,0.0
Park_Area_Acres,38900,1.0,0.0005806110240534448
Park_Area_Acres,39300,0.9989818846753951,0.0
Park_Area_Acres,39340,0.8534176137322613,0.02062469749061026
Park_Area_Acres,39660,0.8351949140171397,9.674129769667245e-08
Park_Area_Acres,39900,0.9988954049775585,0.0
Park_Area_Acres,40060,1.0,0.04870906662472189
Park_Area_Acres,41180,0.6442110723067301,8.55092878044628e-05
Park_Area_Acres,41620,0.9905884831668885,0.10451559811965688
Park_Area_Acres,41700,0.02858962814756938,0.41944791043105856
Park_Area_Acres,42660,1.0,0.001255575305928029
Park_Area_Acres,43580,0.34867003660914486,0.9935091753350004
Park_Area_Acres,43620,0.9964215159389039,0.9935511185408026
Park_Area_Acres,44060,1.0,1.0
Park_Area_Acres,44140,1.0,0.30868355095526323
Park_Area_Acres,45780,0.9897004972826497,4.5654775115953734e-08
Park_Area_Acres,45820,0.9353909472185826,9.775796651911844e-15
Park_Area_Acres,46140,0.9947520728537856,1.1887946739803473e-06
Park_Area_Acres,47260,0.999082184211094,0.0
Park_Area_Acres,48620,0.9855937598631899,0.0
Park_Area_Acres,49340,0.9975303397235441,0.6759465097273134
Weighted_RESP,10740,1.0,0.9990644915609173
Weighted_RESP,11260,0.9422452332877409,0.0
Weighted_RESP,12060,0.05055800407717118,0.3859071404639239
Weighted_RESP,12260,0.7364464836618826,0.027436027011418795
Weighted_RESP,12420,0.9030274076621838,0.0
Weighted_RESP,12580,1.0,2.0554148620914935e-19
Weighted_RESP,12940,0.9792398325940098,0.0001172429637038099
Weighted_RESP,13740,0.013996224367751858,0.0
Weighted_RESP,13820,0.998999913318114,1.0
Weighted_RESP,13900,1.9403222772652204e-10,0.0
Weighted_RESP,14260,1.0,1.300001892999475e-18
Weighted_RESP,14460,0.9521824584298226,7.886914263904622e-16
Weighted_RESP,15540,0.9654772677063687,0.0
Weighted_RESP,16620,0.021546637304389132,0.0
Weighted_RESP,16700,0.43438437367808774,0.8331851752763183
Weighted_RESP,16740,0.2150220210866216,0.02810800891372798
Weighted_RESP,16980,0.7431465950356225,0.0
Weighted_RESP,17140,1.0,1.0
Weighted_RESP,17820,1.0,1.0
Weighted_RESP,18140,1.0175117647188322e-07,0.0009120231545722696
Weighted_RESP,19100,0.0003336228102822219,0.0
Weighted_RESP,19740,0.9881703867147524,4.6621148160657106e-30
Weighted_RESP,19780,0.0,8.704604359733128e-06
Weighted_RESP,19820,0.6713092676766719,1.3881005879626597e-23
Weighted_RESP,20260,0.9878247042454809,9.643112822407904e-06
Weighted_RESP,22020,0.9969296820504178,1.0
Weighted_RESP,22220,0.9989692735266976,0.0
Weighted_RESP,24340,0.5511723484611841,0.35304330435759823
Weighted_RESP,24860,0.006235089169903947,0.9295973654239469
Weighted_RESP,25180,0.002298797680696363,0.0009260258981136374
Weighted_RESP,26420,0.9715260217298901,4.93096780415383e-14
Weighted_RESP,26580,1.0,0.0
Weighted_RESP,26900,0.8506142834931559,0.0043464805176420445
Weighted_RESP,28140,0.11940506013598245,0.0
Weighted_RESP,28940,1.0,0.6185499116043316
Weighted_RESP,30700,8.338571822495469e-08,0.0023748952703595426
Weighted_RESP,30780,0.8795951932276691,6.318931657965664e-10
Weighted_RESP,31080,1.0,0.29322560832958117
Weighted_RESP,31140,0.08227988593477881,3.758407175052786e-05
Weighted_RESP,32820,0.9819235103674746,0.07279616819557001
Weighted_RESP,33340,0.07498799174748888,0.9150667823818361
Weighted_RESP,33460,0.9990839367164039,0.044615376663732935
Weighted_RESP,34980,0.6478521846974612,2.123892234306128e-15
Weighted_RESP,35380,0.9916468137458313,0.0
Weighted_RESP,35620,1.0,0.2855870540985515
Weighted_RESP,36260,0.9990873984203115,0.0
Weighted_RESP,36420,0.34909149386315197,0.0
Weighted_RESP,36540,0.2849826532295887,0.9967943168919409
Weighted_RESP,37980,0.027248971777433,0.0008168069851365488
Weighted_RESP,38060,0.3706543009534078,1.0026143122166805e-08
Weighted_RESP,38300,2.129990247981667e-05,0.0
Weighted_RESP,38860,0.00013857949154325958,0.04123920859289266
Weighted_RESP,38900,0.0,2.678032871187867e-12
Weighted_RESP,39300,2.8677390178398945e-13,0.5175760690536391
Weighted_RESP,39340,0.9826948159996942,2.2937007932550803e-12
Weighted_RESP,39660,0.9956036921552442,0.9883021338391295
Weighted_RESP,39900,1.0,0.7397193126005235
Weighted_RESP,40060,0.47093156348152254,0.22400357386542008
Weighted_RESP,41180,0.009539734966346896,0.0
Weighted_RESP,41620,0.9970823561747832,0.07719840080848205
Weighted_RESP,41700,0.3796927159662205,0.02244072509402013
Weighted_RESP,42660,1.0,9.874696584217613e-07
Weighted_RESP,43580,0.31769624225809867,0.002433057791817863
Weighted_RESP,43620,0.9962642902956259,0.9970286104657688
Weighted_RESP,44060,1.0,0.0016995289724183362
Weighted_RESP,44140,0.9984965003538234,0.0
Weighted_RESP,45780,0.026231941270655063,1.0
Weighted_RESP,45820,0.95314291076309,5.984407296968471e-06
Weighted_RESP,46140,4.80325906936875e-10,0.006326817794527325
Weighted_RESP,47260,0.8609287689169329,0.033433767060837345
Weighted_RESP,48620,0.9552797656681762,0.0
Weighted_RESP,49340,0.98557474569429,0.0
children_single_parent,10740,0.9927233545736732,0.5988410733093311
children_single_parent,11260,0.0,2.6791574741854142e-20
children_single_parent,12060,0.9975664425756957,0.9989021721823476
children_single_parent,12260,0.6941108243712181,0.6850017415960137
children_single_parent,12420,0.9330231283382835,0.00042231779393339176
children_single_parent,12580,0.9306911056261982,0.9989472122722293
children_single_parent,12940,0.7279818764134033,6.062756227228036e-08
children_single_parent,13740,0.9139419932510072,0.5161965967456881
children_single_parent,13820,0.0048465200596968265,0.45475671484333235
children_single_parent,13900,0.9954085907592832,0.01679651342123398
children_single_parent,14260,0.9886815396932678,0.0027398326475143284
children_single_parent,14460,0.8099206731082581,0.8096877181041235
children_single_parent,15540,0.9410151895300993,0.00460618288947179
children_single_parent,16620,0.025530766714875513,3.5792011894596773e-16
children_single_parent,16700,0.9990055309912921,3.308250440061495e-08
children_single_parent,16740,0.17691915849917994,0.04851380746738644
children_single_parent,16980,0.25886820573088687,5.0319828301178546e-26
children_single_parent,17140,0.9915123612826071,0.9903752319060171
children_single_parent,17820,0.5506279343714927,0.4747807345927377
children_single_parent,18140,4.8324410759729925e-08,1.205559909751083e-05
children_single_parent,19100,0.9923165607726455,0.2726088250212245
children_single_parent,19740,0.9833309198290965,0.47378893765331953
children_single_parent,19780,0.6892076135983322,0.0001492679557323155
children_single_parent,19820,0.3010802388748709,0.004290238211205647
children_single_parent,20260,0.9625373672814659,0.021199729079249576
children_single_parent,22020,0.2958131235248656,0.03501669052381049
children_single_parent,22220,0.13366373533331438,0.658071759823404
children_single_parent,24340,0.8199831643767429,0.0
children_single_parent,24860,6.567124083950448e-23,0.014166810388135194
children_single_parent,25180,1.0,1.0
children_single_parent,26420,0.1687808865615667,0.0
children_single_parent,26580,0.24010824289666088,0.0014321562688914076
children_single_parent,26900,0.0,5.166219155414658e-26
children_single_parent,28140,0.17520501500362912,0.12332834647156948
children_single_parent,28940,0.8619056909932548,0.0044271303899463725
children_single_parent,30700,0.4526180414430955,0.34936371223739815
children_single_parent,30780,0.20659346979525617,0.1309606224241242
children_single_parent,31080,0.3788321398537337,0.102587965072516
children_single_parent,31140,0.6048719544860129,0.5952144641509511
children_single_parent,32820,0.970173785974239,0.9696300140708983
children_single_parent,33340,0.39824684707264874,0.009796547288374587
children_single_parent,33460,0.15727297466266,4.5341146413850355e-05
children_single_parent,34980,0.9978206155736611,0.9979290613276599
children_single_parent,35380,0.9732050899728772,0.0
children_single_parent,35620,0.5126615029793126,0.8944992121786592
children_single_parent,36260,0.7484081153302821,0.8189467352343356
children_single_parent,36420,0.9418516402489162,0.9349472861738514
children_single_parent,36540,0.9867487288161096,0.09049992593539341
children_single_parent,37980,1.0,0.0032737002173283667
children_single_parent,38060,1.0,1.0
children_single_parent,38300,0.29771360181821205,0.1913690014844623
children_single_parent,38860,0.9897358865196634,0.9854121496913826
children_single_parent,38900,0.6787009777661449,0.6507985424751153
children_single_parent,39300,0.4564840938387412,0.018939844058593076
children_single_parent,39340,0.08347521430597077,0.002456262000389232
children_single_parent,39660,0.8932352598555016,0.46320296707851055
children_single_parent,39900,1.0,1.0
