,cbsacode,factor,SAMI,beta,p_value,CI_lower,CI_upper,logY0_hat,n_used,r2
0,10100.0,BINGE,0.22527012828770054,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
1,10140.0,BINGE,-0.007962644367447425,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
2,10180.0,BINGE,0.10110529727935713,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
3,10220.0,BINGE,-0.19054122288329012,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
4,10300.0,BINGE,-0.0048534840615381825,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
5,10420.0,BINGE,-0.02301067900847542,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
6,10460.0,BINGE,-0.03089716476239346,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
7,10500.0,BINGE,-0.2763997873457473,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
8,10540.0,BINGE,0.044077166967975145,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
9,10580.0,BINGE,0.14193585514038354,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
10,10620.0,BINGE,-0.005837790244720864,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
11,10660.0,BINGE,0.08321488471456817,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
12,10700.0,BINGE,-0.09847992847977238,1.0116094514974312,0.0,1.0040518428510288,1.0191670601438336,-1.9124289983511233,875,0.9875090027885478
