Year,cbsacode,population,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,Sample_Size,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n,smo_obe_dia,smo_obe,smo_dia,obe_dia,depressed,no_time_activity
2011,10420.0,542405.0,93797.01184,117246.2648,74535.12548,44804.82262,94515.0,29077.0,41007.0,375.0,49528.0,223355.0,364.6,112.0,30090713.0,41598.15136,0.216675108,5494.820511684351,537.5449184926114,53.1143899450831,-0.41335551671723525,-0.3549304758499662,-0.3093551798815162,-0.3481759981626907,90039.23,130185.0
2011,10740.0,841428.0,119645.415194,132813.285121,83828.102769,37536.718343,142157.0,29683.0,72115.0,174.0,146437.0,298296.0,1024.6999999999998,698.0,37141102.0,36984.81568,0.14547557,5540.745134383463,1224.879162880463,17.445337427316524,-0.3553675386699732,-0.23920755136818814,-0.2720023167074567,-0.35907524963722004,179186.4323432665,117481.0
2011,10900.0,109638.0,18056.28222,23095.244700000003,13353.250572,6802.599348000001,18230.0,5300.0,6087.0,20.0,74721.0,43437.0,90.1,75.0,36883410.0,104714.6338,0.239066719,6179.837740545382,694.0106947838865,86.91756064015811,-0.966634766319731,-0.7992048472815841,-0.7829722530461386,-0.7855894444426392,12992.103000000001,157927.0
2011,11260.0,88379.0,17684.6379,17876.862225,10251.964,3716.33695,12658.0,3927.999999999999,5876.0,11.0,71575.0,23934.0,317.1,241.0,22852724.0,926977.9378,0.22558668,0.0,0.0,0.0,-0.9923157319824657,-0.8116924463480606,-0.803104315684766,-0.8158514985586017,15729.665082572616,58051.0
2011,12100.0,367803.0,64045.90244599999,74505.752072,53380.958076,28380.859443,49612.0,23119.999999999996,29946.000000000004,79.0,106832.0,127111.0,608.0,241.0,17802041.0,17415.70591,0.241268681,1266.7557870935266,103.47565480823222,15.978818237462317,-0.6483861231167032,-0.5419201143994387,-0.5045838699439802,-0.5416616124076468,55790.37356265561,69098.0
2011,12260.0,156017.0,27044.298814000005,37694.487285,17231.765615999997,13043.489251,21081.0,7454.000000000001,13446.0,8.0,43895.0,53916.0,432.3,118.0,22186340.0,3976.123756,0.400426965,1531.9767615940325,40.12234238527965,4.028891232288886,-0.8862277873552251,-0.7390579893339784,-0.716137162361707,-0.7156249584569927,28519.907600000002,108477.0
2011,12300.0,121090.0,19588.97148,27655.01856,15555.94794,8834.242040000001,17341.0,4822.0,8931.0,94.0,45511.0,47326.0,257.1,272.0,4711332.0,621.6060933,0.2,314.2784077832304,6.702541033010692,3.526121446338053,-0.9444055190259905,-0.7844618516838856,-0.7656341160778697,-0.7632312637333597,31083.803000000004,20495.0
2011,12420.0,1026158.0,144277.8148,177032.77816000002,167674.21719999998,53031.845440000005,253384.0,36879.0,72086.0,727.0,55650.0,373559.0,584.6,198.0,97352466.0,110240.4282,0.20639744,22763.419503266327,4618.3383784551115,191.1061681479295,-0.13562076839908824,-0.06524863504690266,-0.0987135973523275,-0.1680886655217962,171984.08080000003,239279.0
2011,12580.0,1948441.0,321197.29402800003,429240.53022600006,252629.40414,150503.03121,352753.0,77999.0,178363.0,1321.0,185781.0,686966.0,1892.4,373.0,158031305.0,80226.52268,0.295856965,19938.785830424873,2685.184036326515,66.89503699754884,1.2575773662920158,1.0424764897694592,1.061037262541032,0.9770596406837079,314708.74267640756,517237.0
2011,12620.0,149419.0,28006.200846,34229.801034,19029.854421,11250.354186,23890.0,6470.0,8593.0,111.0,42704.0,55569.0,222.0,330.0,5619682.0,2043.739742,0.15,534.7029423149731,22.316352817650877,0.7043706836960746,-0.8988674072380272,-0.7435153178561755,-0.7240980890785005,-0.7341452510704647,42091.3323,30594.0
2011,12700.0,221151.0,28279.684124999996,35212.767975,35395.21755,14778.415575000005,28689.0,10660.0,10454.0,138.0,57379.00000000001,85139.0,127.6,88.0,10899246.0,25556.6975,0.136555145,828.3927070439443,6.175499111550675,2.074437082165407,-0.8787238710681129,-0.7405176722214113,-0.7015642172798784,-0.7103486350451603,44296.545300000005,30528.0
2011,12740.0,58696.0,8849.948096000002,10309.248048,9414.8384,3624.712784,9254.0,2296.0,3654.0,76.0,52832.0,23989.0,183.6,160.0,3118098.0,16325.06766,0.166666667,74.99326250810101,4.0940804532499016,0.2829516288265823,-1.02903311109838,-0.8561146792169679,-0.8316893953629289,-0.832814010717977,14685.7392,8492.0
2011,12940.0,434633.0,65073.25276000001,97775.03968,52521.05172,35674.67664,65669.0,13450.0,46367.0,162.0,46563.0,165919.0,537.2,97.0,50582174.0,7001.38863,0.391811024,0.0,0.0,0.0,-0.5679435770004098,-0.48823445757448203,-0.4565326946843209,-0.446442003287701,64977.633499999996,161888.0
2011,13740.0,144797.0,20963.70966,28466.511012000003,18315.662124,8937.160434000001,24051.0,3643.0,9257.0,18.0,49337.0,57711.0,379.4,252.0,8492009.0,1664.692233,0.19761568,544.6174327085017,50.77201594253511,5.931671171913574,-0.9388955446952189,-0.7783427831890009,-0.7606415996331249,-0.760840633189725,36416.4455,30609.0
2011,13820.0,665027.0,115032.38029800002,159119.680236,76519.336674,60810.06888,116449.0,29567.0,64650.0,339.0,46269.0,248859.0,881.5999999999999,141.0,52786173.0,16320.91819,0.463629043,9073.89795499133,1727.1996321612723,106.99731581387152,-0.20399349771749858,-0.1968306692591355,-0.14370864015474752,-0.15914088820892133,127485.67590000002,251357.0
