cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper
10740,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.2849280921510502,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
11260,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.010763004221521655,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
12060,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.20946716954669498,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
12260,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.24628691426167748,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
12420,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.12452651966366801,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
12580,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.07952904509246927,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
12940,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.09608109974091406,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
13740,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.01184680192128873,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
13820,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.25725271395447713,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
13900,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.17438880682241376,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
14260,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.14535089295497627,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
14460,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.10251285206696181,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
15540,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.18559452451984626,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
16620,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.36946907226821324,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
16700,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.1303638580662021,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
16740,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.28504824590009115,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
16980,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.0811956664397826,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
17140,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.03662081451808952,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
17820,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.09276086305022346,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
18140,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.021954657412010192,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
19100,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.19352934739389482,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
19740,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.07028535904216149,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
19780,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.09432358214469794,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
19820,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.031347798707850316,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
20260,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.2504226446096105,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
22020,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.32442136173222025,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
22220,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.20506665943954694,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
24340,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,0.009681659729006142,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
24860,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.318481525203131,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
25180,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.21699405258849147,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
26420,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.1334262122252028,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
26580,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.5652915281474797,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
26900,2011,excessive_drinking,0.3503942801399748,0.001,0.3503942801399748,0.001,0,-0.09139221114703666,1.012204568935319,0.0,0.9972440967130455,1.0271650411575923
