cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper,ln_area_beta,ln_area_p,ln_area_CI_lower,ln_area_CI_upper
10420,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.14683340346512352,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
10740,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.18157611885255953,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
10900,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.052275451448007715,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
11260,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.02746490561713877,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12100,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.09406937503046287,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12260,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.10618531479641113,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12300,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.07948191698124418,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12420,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.2648177778069112,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12580,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.033706085939858355,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12620,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.015758336150456742,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12700,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.1170996716075603,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12740,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.13006387416968224,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
12940,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.100544282340147,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
13740,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.06262678512567987,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
13820,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.13117295063333856,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
13900,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.20552233646740703,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
14260,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.0747537928915758,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
14460,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.0033272727344879627,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
14500,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.16607578687764146,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
15540,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.10417325984970027,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
15940,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.08928632645510426,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
16220,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.05253210999309488,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
16620,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.22606012681242227,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
16700,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.33586221761338386,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
16740,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.15037488571083024,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
16940,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.03872640167800867,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
16980,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.11308864902107452,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
17140,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.24107404934828658,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
