cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper,detrended,adf_p_original,adf_p_final
10740,2011,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.3985019254893061,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.018381387621976275,0.9925737814562162,0.16184872817551482
10740,2012,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.4206806069206994,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.021328744543892608,0.9925737814562162,0.16184872817551482
10740,2013,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.3990686363080655,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.01951455057821827,0.9925737814562162,0.16184872817551482
10740,2014,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.4212485692964058,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.01656594209935497,0.9925737814562162,0.16184872817551482
10740,2015,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.445888688906713,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.011157146998524714,0.9925737814562162,0.16184872817551482
10740,2016,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.4696923087057296,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.006584851708985151,0.9925737814562162,0.16184872817551482
10740,2017,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.4923687902098024,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.0031396947143893517,0.9925737814562162,0.16184872817551482
10740,2018,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.5145543673712556,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.00018544206241311034,0.9925737814562162,0.16184872817551482
10740,2019,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.5383675508156625,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.004396416872516795,0.9925737814562162,0.16184872817551482
10740,2020,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.5571103534065838,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.003907894953961044,0.9925737814562162,0.16184872817551482
10740,2021,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.5781539062199581,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.005720123257858423,0.9925737814562162,0.16184872817551482
10740,2022,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,0.5950781683832584,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.003413060911681809,0.9925737814562162,0.16184872817551482
11260,2011,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.961386743413081,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,5.961386743413081,2.70073561423559e-10,0.0
11260,2012,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.961902142940516,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.0005350485468680333,2.70073561423559e-10,0.0
11260,2013,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.928986219556208,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.033144091215402405,2.70073561423559e-10,0.0
11260,2014,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.917423353088213,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.01056331192582416,2.70073561423559e-10,0.0
11260,2015,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.909665446246661,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.015634304091598494,2.70073561423559e-10,0.0
11260,2016,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.904050516536718,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.006917461278018067,2.70073561423559e-10,0.0
11260,2017,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.903133721470736,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.006630669108233178,2.70073561423559e-10,0.0
11260,2018,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.896694553600373,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.0007313090206455541,2.70073561423559e-10,0.0
11260,2019,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.901588280786522,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.005578792884108452,2.70073561423559e-10,0.0
11260,2020,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.906376723998952,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,-0.00012809103403288447,2.70073561423559e-10,0.0
11260,2021,Park_Area_Acres,0.3032918597088527,0.001,0.0337978754558591,0.063,71,5.91301454885096,1.081370015865363,1.3223269449411408e-73,0.9763886690428988,1.1863513626878273,0.0067974626087288215,2.70073561423559e-10,0.0
