cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper
18140,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.5220596211397037,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
19100,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.5721805326153451,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
19740,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.7549085100885726,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
19780,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.36385165515415174,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
19820,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.2859453719830096,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
20260,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.8206285347315685,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
22020,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.18434095156403885,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
22220,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.9663595171690602,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
24340,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.5290226906328801,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
24860,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.40773269918374844,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
25180,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-1.3435263633921384,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
26420,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,0.5000272034649456,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
26580,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.7840904969543114,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
26900,2011,excessive_drinking,0.0917854699018283,0.001,0.039777117311495754,0.047,24,-0.18967775760569694,0.9576883004360829,2.4459782233824137e-243,0.918618912041912,0.9967576888302537
